id,dataset,question,expected_sources,case_type,difficulty,top1_qualified_source_key,top1_legislation,first_expected_source_rank,any_source_hit_at_1,any_source_hit_at_3,any_source_hit_at_5,all_sources_match_at_1,all_sources_match_at_3,all_sources_match_at_5,expected_legislation_hit_at_1,expected_legislation_hit_at_3,expected_legislation_hit_at_5,non_expected_legislation_count_at_5,non_expected_legislation_share_at_5,top5_qualified_source_keys,embedding_tokens,retrieval_latency_ms,error_type,safe_error
q001,5326,Kabahat nedir?,5326/normal/2,,,5326/normal/7,5326,4,False,False,True,False,False,True,True,True,True,0,0.0,5326/normal/7 | 5326/normal/1 | 5326/normal/14 | 5326/normal/2 | 5326/normal/9,7,4100.595899973996,,
q002,5326,"Kabahat karşılığı uygulanacak yaptırımın türü, süresi ve miktarı hangi esasla belirlenir?",5326/normal/4,,,5326/normal/16,5326,,False,False,False,False,False,False,True,True,True,0,0.0,5326/normal/16 | 5326/normal/27 | 5326/normal/28 | 5326/normal/15 | 5326/normal/25,38,1919.6339000482112,,
q003,5326,Bir kabahatin kasten veya taksirle işlenmesi nasıl düzenlenmiştir?,5326/normal/9,,,5326/normal/9,5326,1,True,True,True,True,True,True,True,True,True,0,0.0,5326/normal/9 | 5326/normal/41 | 5326/normal/39 | 5326/normal/43/a | 5326/normal/15,25,254.41330001922324,,
q004,5326,Onbeş yaşını doldurmamış çocuk hakkında idarî para cezası uygulanabilir mi?,5326/normal/11,,,5326/normal/11,5326,1,True,True,True,True,True,True,True,True,True,0,0.0,5326/normal/11 | 5326/normal/21 | 5326/normal/20 | 5326/normal/43/a | 5326/gecici/3,29,255.99790003616363,,
q005,5326,Hukuka uygunluk nedenleri ve kusurluluğu ortadan kaldıran nedenlerde hangi hükümler uygulanır?,5326/normal/12,,,5326/normal/12,5326,1,True,True,True,True,True,True,True,True,True,0,0.0,5326/normal/12 | 5326/normal/19 | 5326/normal/28 | 5326/normal/27 | 5326/normal/5,39,266.3442000048235,,
q006,5326,Kabahate teşebbüs cezalandırılır mı?,5326/normal/13,,,5326/normal/13,5326,1,True,True,True,True,True,True,True,True,True,0,0.0,5326/normal/13 | 5326/normal/14 | 5326/normal/37 | 5326/normal/43/a | 5326/normal/36,18,286.88919998239726,,
q007,5326,Bir kabahatin işlenmesine birden fazla kişi katılırsa sorumluluk nasıl belirlenir?,5326/normal/14,,,5326/normal/14,5326,1,True,True,True,True,True,True,True,True,True,0,0.0,5326/normal/14 | 5326/normal/8 | 5326/normal/41 | 5326/normal/43/a | 5326/normal/7,29,275.23490000749007,,
q008,5326,Aynı fiille birden fazla kabahat işlenirse idarî yaptırım nasıl belirlenir?,5326/normal/15,,,5326/normal/15,5326,1,True,True,True,True,True,True,True,True,True,0,0.0,5326/normal/15 | 5326/normal/27 | 5326/normal/28 | 5326/normal/25 | 5326/normal/16,29,276.1395999696106,,
q009,5326,Kabahatler karşılığında uygulanabilecek idarî yaptırım türleri nelerdir?,5326/normal/16,,,5326/normal/16,5326,1,True,True,True,True,True,True,True,True,True,0,0.0,5326/normal/16 | 5326/normal/27 | 5326/normal/25 | 5326/normal/28 | 5326/normal/17,29,264.648100011982,,
q010,5326,İdarî para cezasının türleri ve ceza miktarının belirlenmesinde dikkate alınacak ölçütler nelerdir?,5326/normal/17,,,5326/normal/17,5326,1,True,True,True,True,True,True,True,True,True,0,0.0,5326/normal/17 | 5326/normal/28 | 5326/normal/27 | 5326/normal/43/a | 5326/normal/20,36,263.99269996909425,,
