id,question,expected_sources,category,difficulty,source_verified,multi_source,section_context,review_status,reviewer_notes
k5607-001,"5607 sayılı Kanunun amacı nedir; hangi fiilleri, yaptırımları ve hangi usul ve esasları belirlemeyi hedefler?",5607_kacakcilikla_mucadele_kanunu/normal/1,direct_provision,easy,True,False,Birinci Bölüm,project_human_review_passed,Phase A approved by project human reviewer in task instruction; previous status: pending. Legal expert validation not asserted.
k5607-002,5607 sayılı Kanunda “gümrüklenmiş değer” nasıl tanımlanır ve ithal ve ihraç eşyası bakımından hangi değerlerin toplamı esas alınır?,5607_kacakcilikla_mucadele_kanunu/normal/2,definition,easy,True,False,Birinci Bölüm,project_human_review_passed,Phase A approved by project human reviewer in task instruction; previous status: pending. Legal expert validation not asserted.
k5607-003,Eşyanın gümrük işlemlerine tabi tutulmadan ülkeye sokulması hangi hapis ve adlî para cezasını gerektirir; eşya gümrük kapıları dışından sokulursa ceza nasıl değişir?,5607_kacakcilikla_mucadele_kanunu/normal/3,penalty,medium,True,False,İkinci Bölüm,project_human_review_passed,Phase A approved by project human reviewer in task instruction; previous status: pending. Legal expert validation not asserted.
k5607-004,"İhracat gerçekleşmediği hâlde gerçekleşmiş gibi gösterilmesi veya ihraç malının cins, miktar, evsaf ya da fiyatının değiştirilmesi hangi yaptırımla karşılanır; beyandaki fark yüzde onu aşmıyorsa hangi işlem uygulanır?",5607_kacakcilikla_mucadele_kanunu/normal/3,exception_condition,hard,True,False,İkinci Bölüm,project_human_review_passed,Phase A approved by project human reviewer in task instruction; previous status: pending. Legal expert validation not asserted.
k5607-005,Ulusal marker seviyenin altında olan veya hiç marker içermeyen akaryakıt bakımından hangi ticari fiiller suç kapsamındadır ve hangi yaptırım öngörülür?,5607_kacakcilikla_mucadele_kanunu/normal/3,penalty,hard,True,False,İkinci Bölüm,project_human_review_passed,Phase A approved by project human reviewer in task instruction; previous status: pending. Legal expert validation not asserted.
k5607-006,Kaçakçılık suçunun teşebbüs aşamasında kalması hâlinde 5607 sayılı Kanun bakımından nasıl cezalandırma yapılır?,5607_kacakcilikla_mucadele_kanunu/normal/3,direct_provision,easy,True,False,İkinci Bölüm,project_human_review_passed,Phase A approved by project human reviewer in task instruction; previous status: pending. Legal expert validation not asserted.
k5607-007,Kaçakçılık suçunun bir örgütün faaliyeti çerçevesinde veya üç ya da daha fazla kişi tarafından birlikte işlenmesi hâlinde cezalar nasıl artırılır?,5607_kacakcilikla_mucadele_kanunu/normal/4,condition,medium,True,False,İkinci Bölüm,project_human_review_passed,Phase A approved by project human reviewer in task instruction; previous status: pending. Legal expert validation not asserted.
k5607-008,"Etkin pişmanlık gösteren kişi, resmî makamlar haber almadan önce hangi bilgileri verirse ve bu bilgi neyi sağlarsa cezalandırılmaz?",5607_kacakcilikla_mucadele_kanunu/normal/5,condition,medium,True,False,İkinci Bölüm,project_human_review_passed,Phase A approved by project human reviewer in task instruction; previous status: pending. Legal expert validation not asserted.
k5607-009,"Yolcunun üzerinde, eşyası arasında veya taşıma aracında beyanına aykırı olarak çıkan eşya hangi iki durumda 3 üncü madde hükümlerine tabi olur?",5607_kacakcilikla_mucadele_kanunu/normal/6,exception_condition,medium,True,False,İkinci Bölüm,project_human_review_passed,Phase A approved by project human reviewer in task instruction; previous status: pending. Legal expert validation not asserted.
k5607-010,İzinsiz olarak gümrük bölgesine girip sahile veya başka bir gemiye yanaşan geminin kaptanı hangi ek bulgular varsa kaçakçılık hükümlerine göre cezalandırılır?,5607_kacakcilikla_mucadele_kanunu/normal/7,condition,hard,True,False,İkinci Bölüm,project_human_review_passed,Phase A approved by project human reviewer in task instruction; previous status: pending. Legal expert validation not asserted.
k5607-011,"Kaçak eşya, silah, mühimmat, patlayıcı veya uyuşturucu bulunduğundan şüphe edilen kap, ambalaj, taşıma aracı ve kişiler üzerindeki arama ve elkoyma hangi kanuna göre yapılır?",5607_kacakcilikla_mucadele_kanunu/normal/9,procedural_rule,easy,True,False,Üçüncü Bölüm,project_human_review_passed,Phase A approved by project human reviewer in task instruction; previous status: pending. Legal expert validation not asserted.
k5607-012,Kaçakçılık suçlarında kullanılan taşıta hangi şartlarda elkonulur ve elkonulan taşıtın müsadere edilebilmesi bakımından hangi bağlantılı durumlar önem taşır?,5607_kacakcilikla_mucadele_kanunu/normal/10 | 5607_kacakcilikla_mucadele_kanunu/normal/13,procedural_condition,hard,True,True,Üçüncü Bölüm,project_human_review_passed,Phase A approved by project human reviewer in task instruction; previous status: pending. Legal expert validation not asserted.
k5607-013,Kaçak şüphesiyle elkonulan eşya ile alıkonulan taşıtların gümrük idaresine tesliminde hangi ayırt edici bilgileri içeren tutanak düzenlenir?,5607_kacakcilikla_mucadele_kanunu/normal/11,procedural_rule,medium,True,False,Üçüncü Bölüm,project_human_review_passed,Phase A approved by project human reviewer in task instruction; previous status: pending. Legal expert validation not asserted.
