id,question,variant,rank,chunk_id,document_source_key,document_id,distance,article_title,expected_sources,first_expected_source_rank,all_expected_sources_recovered_by_rank
k5607-001,"5607 sayılı Kanunun amacı nedir; hangi fiilleri, yaptırımları ve hangi usul ve esasları belirlemeyi hedefler?",G0,1,5607-madde-1-chunk-001,5607_kacakcilikla_mucadele_kanunu/normal/1,5607_kacakcilikla_mucadele_kanunu,0.6595170497894287,Amaç,5607_kacakcilikla_mucadele_kanunu/normal/1,1,1
k5607-001,"5607 sayılı Kanunun amacı nedir; hangi fiilleri, yaptırımları ve hangi usul ve esasları belirlemeyi hedefler?",G0,2,4458-madde-1-chunk-001,4458_gumruk_kanunu/normal/1,4458_gumruk_kanunu,0.8219065070152283,"Amaç, Kapsam ve Temel Tanımlar",5607_kacakcilikla_mucadele_kanunu/normal/1,1,1
k5607-001,"5607 sayılı Kanunun amacı nedir; hangi fiilleri, yaptırımları ve hangi usul ve esasları belirlemeyi hedefler?",G0,3,5326-madde-4-chunk-001,5326_kabahatler_kanunu/normal/4,5326_kabahatler_kanunu,0.833476722240448,Kanunîlik ilkesi,5607_kacakcilikla_mucadele_kanunu/normal/1,1,1
k5607-001,"5607 sayılı Kanunun amacı nedir; hangi fiilleri, yaptırımları ve hangi usul ve esasları belirlemeyi hedefler?",G0,4,5326-madde-1-chunk-001,5326_kabahatler_kanunu/normal/1,5326_kabahatler_kanunu,0.8486553430557251,Amaç ve kapsam,5607_kacakcilikla_mucadele_kanunu/normal/1,1,1
k5607-001,"5607 sayılı Kanunun amacı nedir; hangi fiilleri, yaptırımları ve hangi usul ve esasları belirlemeyi hedefler?",G0,5,5607-madde-19-chunk-001,5607_kacakcilikla_mucadele_kanunu/normal/19,5607_kacakcilikla_mucadele_kanunu,0.871743381023407,"Kaçakçılığı önleme, izleme ve araştırmakla görevli olanlar",5607_kacakcilikla_mucadele_kanunu/normal/1,1,1
k5607-001,"5607 sayılı Kanunun amacı nedir; hangi fiilleri, yaptırımları ve hangi usul ve esasları belirlemeyi hedefler?",G0,6,5607-madde-27-chunk-001,5607_kacakcilikla_mucadele_kanunu/normal/27,5607_kacakcilikla_mucadele_kanunu,0.9252356290817261,Yürütme,5607_kacakcilikla_mucadele_kanunu/normal/1,1,1
k5607-001,"5607 sayılı Kanunun amacı nedir; hangi fiilleri, yaptırımları ve hangi usul ve esasları belirlemeyi hedefler?",G0,7,5326-madde-3-chunk-001,5326_kabahatler_kanunu/normal/3,5326_kabahatler_kanunu,0.9321284294128418,Genel kanun niteliği,5607_kacakcilikla_mucadele_kanunu/normal/1,1,1
k5607-001,"5607 sayılı Kanunun amacı nedir; hangi fiilleri, yaptırımları ve hangi usul ve esasları belirlemeyi hedefler?",G0,8,5607-madde-4-chunk-001,5607_kacakcilikla_mucadele_kanunu/normal/4,5607_kacakcilikla_mucadele_kanunu,0.940659761428833,Nitelikli haller,5607_kacakcilikla_mucadele_kanunu/normal/1,1,1
k5607-001,"5607 sayılı Kanunun amacı nedir; hangi fiilleri, yaptırımları ve hangi usul ve esasları belirlemeyi hedefler?",G0,9,5607-gecici-madde-3-chunk-001,5607_kacakcilikla_mucadele_kanunu/gecici/3,5607_kacakcilikla_mucadele_kanunu,0.9462324976921082,,5607_kacakcilikla_mucadele_kanunu/normal/1,1,1
k5607-001,"5607 sayılı Kanunun amacı nedir; hangi fiilleri, yaptırımları ve hangi usul ve esasları belirlemeyi hedefler?",G0,10,5607-madde-20-chunk-001,5607_kacakcilikla_mucadele_kanunu/normal/20,5607_kacakcilikla_mucadele_kanunu,0.9483399391174316,Tutanaklar,5607_kacakcilikla_mucadele_kanunu/normal/1,1,1
k5607-001,"5607 sayılı Kanunun amacı nedir; hangi fiilleri, yaptırımları ve hangi usul ve esasları belirlemeyi hedefler?",G0,11,5607-madde-24-chunk-001,5607_kacakcilikla_mucadele_kanunu/normal/24,5607_kacakcilikla_mucadele_kanunu,0.9668846726417542,Kriminal laboratuvar,5607_kacakcilikla_mucadele_kanunu/normal/1,1,1
k5607-001,"5607 sayılı Kanunun amacı nedir; hangi fiilleri, yaptırımları ve hangi usul ve esasları belirlemeyi hedefler?",G0,12,5607-madde-2-chunk-001,5607_kacakcilikla_mucadele_kanunu/normal/2,5607_kacakcilikla_mucadele_kanunu,0.9716249704360962,Tanımlar,5607_kacakcilikla_mucadele_kanunu/normal/1,1,1
k5607-001,"5607 sayılı Kanunun amacı nedir; hangi fiilleri, yaptırımları ve hangi usul ve esasları belirlemeyi hedefler?",G0,13,5326-madde-45-chunk-001,5326_kabahatler_kanunu/normal/45,5326_kabahatler_kanunu,0.9738575220108032,Yürütme,5607_kacakcilikla_mucadele_kanunu/normal/1,1,1
k5607-001,"5607 sayılı Kanunun amacı nedir; hangi fiilleri, yaptırımları ve hangi usul ve esasları belirlemeyi hedefler?",G0,14,5607-madde-17-chunk-001,5607_kacakcilikla_mucadele_kanunu/normal/17,5607_kacakcilikla_mucadele_kanunu,0.9754683375358582,Yetkili merciler,5607_kacakcilikla_mucadele_kanunu/normal/1,1,1
k5607-001,"5607 sayılı Kanunun amacı nedir; hangi fiilleri, yaptırımları ve hangi usul ve esasları belirlemeyi hedefler?",G0,15,5326-madde-41-chunk-001,5326_kabahatler_kanunu/normal/41,5326_kabahatler_kanunu,0.9847648739814758,Çevreyi kirletme,5607_kacakcilikla_mucadele_kanunu/normal/1,1,1
k5607-001,"5607 sayılı Kanunun amacı nedir; hangi fiilleri, yaptırımları ve hangi usul ve esasları belirlemeyi hedefler?",G0,16,4458-madde-4-chunk-001,4458_gumruk_kanunu/normal/4,4458_gumruk_kanunu,0.987267017364502,,5607_kacakcilikla_mucadele_kanunu/normal/1,1,1
k5607-001,"5607 sayılı Kanunun amacı nedir; hangi fiilleri, yaptırımları ve hangi usul ve esasları belirlemeyi hedefler?",G0,17,5607-gecici-madde-7-chunk-001,5607_kacakcilikla_mucadele_kanunu/gecici/7,5607_kacakcilikla_mucadele_kanunu,0.9916211366653442,,5607_kacakcilikla_mucadele_kanunu/normal/1,1,1
k5607-001,"5607 sayılı Kanunun amacı nedir; hangi fiilleri, yaptırımları ve hangi usul ve esasları belirlemeyi hedefler?",G0,18,5607-madde-3-chunk-003,5607_kacakcilikla_mucadele_kanunu/normal/3,5607_kacakcilikla_mucadele_kanunu,0.9926340579986572,Kaçakçılık suçları,5607_kacakcilikla_mucadele_kanunu/normal/1,1,1
k5607-001,"5607 sayılı Kanunun amacı nedir; hangi fiilleri, yaptırımları ve hangi usul ve esasları belirlemeyi hedefler?",G0,19,5326-madde-42-chunk-001,5326_kabahatler_kanunu/normal/42,5326_kabahatler_kanunu,0.9956396222114563,Afiş asma,5607_kacakcilikla_mucadele_kanunu/normal/1,1,1
k5607-001,"5607 sayılı Kanunun amacı nedir; hangi fiilleri, yaptırımları ve hangi usul ve esasları belirlemeyi hedefler?",G0,20,4458-madde-248-chunk-001,4458_gumruk_kanunu/normal/248,4458_gumruk_kanunu,0.9965698719024658,,5607_kacakcilikla_mucadele_kanunu/normal/1,1,1
k5607-001,"5607 sayılı Kanunun amacı nedir; hangi fiilleri, yaptırımları ve hangi usul ve esasları belirlemeyi hedefler?",G0,21,5326-madde-21-chunk-001,5326_kabahatler_kanunu/normal/21,5326_kabahatler_kanunu,0.9988728761672974,Yerine getirme zamanaşımı,5607_kacakcilikla_mucadele_kanunu/normal/1,1,1
k5607-001,"5607 sayılı Kanunun amacı nedir; hangi fiilleri, yaptırımları ve hangi usul ve esasları belirlemeyi hedefler?",G0,22,5326-gecici-madde-2-chunk-001,5326_kabahatler_kanunu/gecici/2,5326_kabahatler_kanunu,1.0002269744873047,,5607_kacakcilikla_mucadele_kanunu/normal/1,1,1
k5607-001,"5607 sayılı Kanunun amacı nedir; hangi fiilleri, yaptırımları ve hangi usul ve esasları belirlemeyi hedefler?",G0,23,5326-ek-madde-1-chunk-001,5326_kabahatler_kanunu/ek/1,5326_kabahatler_kanunu,1.0005980730056763,,5607_kacakcilikla_mucadele_kanunu/normal/1,1,1
k5607-001,"5607 sayılı Kanunun amacı nedir; hangi fiilleri, yaptırımları ve hangi usul ve esasları belirlemeyi hedefler?",G0,24,5607-gecici-madde-10-chunk-001,5607_kacakcilikla_mucadele_kanunu/gecici/10,5607_kacakcilikla_mucadele_kanunu,1.001099944114685,,5607_kacakcilikla_mucadele_kanunu/normal/1,1,1
k5607-001,"5607 sayılı Kanunun amacı nedir; hangi fiilleri, yaptırımları ve hangi usul ve esasları belirlemeyi hedefler?",G0,25,5607-madde-18-chunk-001,5607_kacakcilikla_mucadele_kanunu/normal/18,5607_kacakcilikla_mucadele_kanunu,1.0011473894119263,Davaya katılma,5607_kacakcilikla_mucadele_kanunu/normal/1,1,1
k5607-001,"5607 sayılı Kanunun amacı nedir; hangi fiilleri, yaptırımları ve hangi usul ve esasları belirlemeyi hedefler?",G0,26,5607-gecici-madde-9-chunk-001,5607_kacakcilikla_mucadele_kanunu/gecici/9,5607_kacakcilikla_mucadele_kanunu,1.004097819328308,,5607_kacakcilikla_mucadele_kanunu/normal/1,1,1
k5607-001,"5607 sayılı Kanunun amacı nedir; hangi fiilleri, yaptırımları ve hangi usul ve esasları belirlemeyi hedefler?",G0,27,5607-gecici-madde-8-chunk-001,5607_kacakcilikla_mucadele_kanunu/gecici/8,5607_kacakcilikla_mucadele_kanunu,1.0071624517440796,,5607_kacakcilikla_mucadele_kanunu/normal/1,1,1
k5607-001,"5607 sayılı Kanunun amacı nedir; hangi fiilleri, yaptırımları ve hangi usul ve esasları belirlemeyi hedefler?",G0,28,5326-madde-31-chunk-001,5326_kabahatler_kanunu/normal/31,5326_kabahatler_kanunu,1.011144995689392,Masrafların ve vekalet ücretinin ödenmesi,5607_kacakcilikla_mucadele_kanunu/normal/1,1,1
k5607-001,"5607 sayılı Kanunun amacı nedir; hangi fiilleri, yaptırımları ve hangi usul ve esasları belirlemeyi hedefler?",G0,29,5326-madde-26-chunk-001,5326_kabahatler_kanunu/normal/26,5326_kabahatler_kanunu,1.0114631652832031,Kararların tebliği,5607_kacakcilikla_mucadele_kanunu/normal/1,1,1
k5607-001,"5607 sayılı Kanunun amacı nedir; hangi fiilleri, yaptırımları ve hangi usul ve esasları belirlemeyi hedefler?",G0,30,5607-madde-14-chunk-001,5607_kacakcilikla_mucadele_kanunu/normal/14,5607_kacakcilikla_mucadele_kanunu,1.0125384330749512,Mülkiyetin kamuya geçirilmesi,5607_kacakcilikla_mucadele_kanunu/normal/1,1,1
k5607-001,"5607 sayılı Kanunun amacı nedir; hangi fiilleri, yaptırımları ve hangi usul ve esasları belirlemeyi hedefler?",G0,31,5607-gecici-madde-1-chunk-001,5607_kacakcilikla_mucadele_kanunu/gecici/1,5607_kacakcilikla_mucadele_kanunu,1.0152277946472168,,5607_kacakcilikla_mucadele_kanunu/normal/1,1,1
k5607-001,"5607 sayılı Kanunun amacı nedir; hangi fiilleri, yaptırımları ve hangi usul ve esasları belirlemeyi hedefler?",G0,32,5326-madde-43-a-chunk-001,5326_kabahatler_kanunu/normal/43/a,5326_kabahatler_kanunu,1.015712857246399,Tüzel kişilerin sorumluluğu,5607_kacakcilikla_mucadele_kanunu/normal/1,1,1
k5607-001,"5607 sayılı Kanunun amacı nedir; hangi fiilleri, yaptırımları ve hangi usul ve esasları belirlemeyi hedefler?",G0,33,5607-madde-15-chunk-001,5607_kacakcilikla_mucadele_kanunu/normal/15,5607_kacakcilikla_mucadele_kanunu,1.0159153938293457,Kaim değer,5607_kacakcilikla_mucadele_kanunu/normal/1,1,1
k5607-001,"5607 sayılı Kanunun amacı nedir; hangi fiilleri, yaptırımları ve hangi usul ve esasları belirlemeyi hedefler?",G0,34,5326-madde-38-chunk-001,5326_kabahatler_kanunu/normal/38,5326_kabahatler_kanunu,1.0161106586456299,İşgal,5607_kacakcilikla_mucadele_kanunu/normal/1,1,1
k5607-001,"5607 sayılı Kanunun amacı nedir; hangi fiilleri, yaptırımları ve hangi usul ve esasları belirlemeyi hedefler?",G0,35,4458-madde-80-chunk-001,4458_gumruk_kanunu/normal/80,4458_gumruk_kanunu,1.0176539421081543,,5607_kacakcilikla_mucadele_kanunu/normal/1,1,1
k5607-001,"5607 sayılı Kanunun amacı nedir; hangi fiilleri, yaptırımları ve hangi usul ve esasları belirlemeyi hedefler?",G0,36,5607-madde-21-chunk-001,5607_kacakcilikla_mucadele_kanunu/normal/21,5607_kacakcilikla_mucadele_kanunu,1.0209712982177734,Kontrollü teslimat,5607_kacakcilikla_mucadele_kanunu/normal/1,1,1
k5607-001,"5607 sayılı Kanunun amacı nedir; hangi fiilleri, yaptırımları ve hangi usul ve esasları belirlemeyi hedefler?",G0,37,5326-madde-43-b-chunk-001,5326_kabahatler_kanunu/normal/43/b,5326_kabahatler_kanunu,1.021114706993103,Tüzel kişilerin bildirim yükümlülüğü,5607_kacakcilikla_mucadele_kanunu/normal/1,1,1
k5607-001,"5607 sayılı Kanunun amacı nedir; hangi fiilleri, yaptırımları ve hangi usul ve esasları belirlemeyi hedefler?",G0,38,4458-madde-29-chunk-001,4458_gumruk_kanunu/normal/29,4458_gumruk_kanunu,1.0214334726333618,,5607_kacakcilikla_mucadele_kanunu/normal/1,1,1
k5607-001,"5607 sayılı Kanunun amacı nedir; hangi fiilleri, yaptırımları ve hangi usul ve esasları belirlemeyi hedefler?",G0,39,4458-madde-231-chunk-001,4458_gumruk_kanunu/normal/231,4458_gumruk_kanunu,1.0264636278152466,Genel Hükümler,5607_kacakcilikla_mucadele_kanunu/normal/1,1,1
k5607-001,"5607 sayılı Kanunun amacı nedir; hangi fiilleri, yaptırımları ve hangi usul ve esasları belirlemeyi hedefler?",G0,40,4458-madde-10-chunk-001,4458_gumruk_kanunu/normal/10,4458_gumruk_kanunu,1.0332691669464111,Diğer Hükümler,5607_kacakcilikla_mucadele_kanunu/normal/1,1,1
