id,question,detected_law,expected_sources,variant,rank,chunk_id,document_source_key,document_id,distance,source_any@1,source_any@3,source_any@5,source_all@1,source_all@3,source_all@5,document_hit@1,document_hit@3,document_hit@5,document_all@1,document_all@3,document_all@5,document_intrusion@1,document_intrusion@3,document_intrusion@5
k5607-001,"5607 sayılı Kanunun amacı nedir; hangi fiilleri, yaptırımları ve hangi usul ve esasları belirlemeyi hedefler?",5607,5607_kacakcilikla_mucadele_kanunu/normal/1,B0,1,5607-madde-1-chunk-001,5607_kacakcilikla_mucadele_kanunu/normal/1,5607_kacakcilikla_mucadele_kanunu,0.6589891910552979,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.6666666666666666,0.6
k5607-001,"5607 sayılı Kanunun amacı nedir; hangi fiilleri, yaptırımları ve hangi usul ve esasları belirlemeyi hedefler?",5607,5607_kacakcilikla_mucadele_kanunu/normal/1,B0,2,4458-madde-1-chunk-001,4458_gumruk_kanunu/normal/1,4458_gumruk_kanunu,0.8213465213775635,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.6666666666666666,0.6
k5607-001,"5607 sayılı Kanunun amacı nedir; hangi fiilleri, yaptırımları ve hangi usul ve esasları belirlemeyi hedefler?",5607,5607_kacakcilikla_mucadele_kanunu/normal/1,B0,3,5326-madde-4-chunk-001,5326_kabahatler_kanunu/normal/4,5326_kabahatler_kanunu,0.8330908417701721,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.6666666666666666,0.6
k5607-001,"5607 sayılı Kanunun amacı nedir; hangi fiilleri, yaptırımları ve hangi usul ve esasları belirlemeyi hedefler?",5607,5607_kacakcilikla_mucadele_kanunu/normal/1,B0,4,5326-madde-1-chunk-001,5326_kabahatler_kanunu/normal/1,5326_kabahatler_kanunu,0.8481295108795166,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.6666666666666666,0.6
k5607-001,"5607 sayılı Kanunun amacı nedir; hangi fiilleri, yaptırımları ve hangi usul ve esasları belirlemeyi hedefler?",5607,5607_kacakcilikla_mucadele_kanunu/normal/1,B0,5,5607-madde-19-chunk-001,5607_kacakcilikla_mucadele_kanunu/normal/19,5607_kacakcilikla_mucadele_kanunu,0.8712002038955688,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.6666666666666666,0.6
k5607-001,"5607 sayılı Kanunun amacı nedir; hangi fiilleri, yaptırımları ve hangi usul ve esasları belirlemeyi hedefler?",5607,5607_kacakcilikla_mucadele_kanunu/normal/1,A1,1,5607-madde-1-chunk-001,5607_kacakcilikla_mucadele_kanunu/normal/1,5607_kacakcilikla_mucadele_kanunu,0.3091881275177002,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,0.0
k5607-001,"5607 sayılı Kanunun amacı nedir; hangi fiilleri, yaptırımları ve hangi usul ve esasları belirlemeyi hedefler?",5607,5607_kacakcilikla_mucadele_kanunu/normal/1,A1,2,5607-gecici-madde-7-chunk-001,5607_kacakcilikla_mucadele_kanunu/gecici/7,5607_kacakcilikla_mucadele_kanunu,0.5175889134407043,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,0.0
k5607-001,"5607 sayılı Kanunun amacı nedir; hangi fiilleri, yaptırımları ve hangi usul ve esasları belirlemeyi hedefler?",5607,5607_kacakcilikla_mucadele_kanunu/normal/1,A1,3,5607-gecici-madde-1-chunk-001,5607_kacakcilikla_mucadele_kanunu/gecici/1,5607_kacakcilikla_mucadele_kanunu,0.5233880877494812,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,0.0
k5607-001,"5607 sayılı Kanunun amacı nedir; hangi fiilleri, yaptırımları ve hangi usul ve esasları belirlemeyi hedefler?",5607,5607_kacakcilikla_mucadele_kanunu/normal/1,A1,4,5607-madde-27-chunk-001,5607_kacakcilikla_mucadele_kanunu/normal/27,5607_kacakcilikla_mucadele_kanunu,0.5567644238471985,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,0.0
k5607-001,"5607 sayılı Kanunun amacı nedir; hangi fiilleri, yaptırımları ve hangi usul ve esasları belirlemeyi hedefler?",5607,5607_kacakcilikla_mucadele_kanunu/normal/1,A1,5,5607-gecici-madde-5-chunk-001,5607_kacakcilikla_mucadele_kanunu/gecici/5,5607_kacakcilikla_mucadele_kanunu,0.5627359747886658,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,0.0
