id,question,expected_source_keys,category,difficulty,source_verified,expert_validated,notes,question_clear,question_natural,expected_sources_correct,answerable_from_current_corpus,ambiguous,review_status,reviewer_notes
gy-001,Gümrük Yönetmeliğinin amacı ve kapsamı nedir?,gumruk_yonetmeligi/normal/1,direct_provision,easy,True,False,Madde 1 amaç ve kapsamı açıklar.,,,,,,pending,
gy-002,Gümrük Yönetmeliğinde dökme eşya ne demektir; ambalajlı olarak sayılabilen eşya bu tanıma girer mi?,gumruk_yonetmeligi/normal/3,definition,easy,True,False,Madde 3 dökme eşyanın tanımında ambalajlı eşya ayrımını yapar.,,,,,,pending,
gy-003,Onaylanmış kişi statü belgesinde borcun ödenmemesi ile sahte belgeyle başvuru aynı sonucu mu doğurur; askıya alma ve iptal nasıl ayrılır?,gumruk_yonetmeligi/normal/26,ambiguity_resistant,hard,True,False,Madde 26 borç nedeniyle askıya alma ile yanlış/eksik bilgi veya sahte belge nedeniyle iptali ayırır.,,,,,,pending,
gy-004,"Gümrük idaresinin lehe kararının değiştirilmesi, o karara dayanılarak zaten rejime alınmış eşyaya uygulanır mı?",gumruk_yonetmeligi/normal/27,exception_condition,medium,True,False,Madde 27 lehe kararın değiştirilmesinin önceden rejime alınan eşyaya etkisini düzenler.,,,,,,pending,
gy-005,Gümrük görevlisinin yükümlüye ait sırları açıklama yasağı görevden ayrılınca sona erer mi?,gumruk_yonetmeligi/normal/30,direct_provision,easy,True,False,Madde 30 gizlilik yasağının görevden ayrılma sonrasında da devamını belirtir.,,,,,,pending,
gy-006,"Mücbir sebep yüzünden süre kaçırılmışsa, süresi geçtikten sonra ek süre talebi hangi belge koşuluyla değerlendirilebilir?",gumruk_yonetmeligi/normal/31,exception_condition,medium,True,False,Madde 31 süresi dışındaki başvurularda olayın zamanını kanıtlama koşulunu belirtir.,,,,,,pending,
gy-007,Ticari olmayan küçük gönderilerde menşe şahadetnamesi aranmayacak kıymet sınırı nedir; aynı göndericinin kolileri ayrı ayrı mı değerlendirilir?,gumruk_yonetmeligi/normal/39,multi_part,medium,True,False,Madde 39 CIF sınırını ve aynı göndericinin kolilerinin birlikte değerlendirilmesini düzenler.,,,,,,pending,
gy-008,Menşe şahadetnamesi gerekli bilgileri taşısa bile şüphe halinde gümrük idaresi ek kanıt isteyebilir mi?,gumruk_yonetmeligi/normal/40,exception_condition,easy,True,False,Madde 40 bilgileri içeren şahadetnameye rağmen şüphede ek kanıt istenebileceğini belirtir.,,,,,,pending,
gy-009,Menşe şahadetnamesinin doğruluğu hakkında incelemeden sonra da tereddüt kalırsa sonradan kontrol için hangi yol izlenir?,gumruk_yonetmeligi/normal/41,procedure,medium,True,False,Madde 41 devam eden tereddütte sonradan kontrol talebinin yolunu açıklar.,,,,,,pending,
gy-010,Gümrük kıymeti bakımından aynı eşya ile benzer eşya nasıl ayrılır; görünüşteki küçük farklılıklar aynı eşya sayılmayı engeller mi?,gumruk_yonetmeligi/normal/43,ambiguity_resistant,hard,True,False,Madde 43 aynı eşya ile benzer eşyayı ayırır; küçük görünüş farklarını ele alır.,,,,,,pending,
gy-011,Gümrük kıymeti yöntemleri hangi sırayla uygulanır; indirgeme ve hesaplanmış kıymet yöntemlerinin sırası değiştirilebilir mi?,gumruk_yonetmeligi/normal/44,exception_condition,medium,True,False,Madde 44 sıralı yöntem uygulamasını ve yazılı taleple sıra değişikliği istisnasını düzenler.,,,,,,pending,
gy-012,Aynı eşyanın satış bedeli yönteminde birden fazla satış bedeli bulunursa hangisi esas alınır?,gumruk_yonetmeligi/normal/46,direct_provision,easy,True,False,Madde 46 aynı eşyanın birden fazla satış bedeli için seçim kuralını içerir.,,,,,,pending,
gy-013,Benzer eşyanın satış bedeli kullanılırken ticari düzey veya miktar farklıysa düzeltme hangi ispat koşuluyla yapılır?,gumruk_yonetmeligi/normal/47,exception_condition,medium,True,False,Madde 47 ticari düzey ve miktar düzeltmesinin ispat koşulunu içerir.,,,,,,pending,
gy-014,Serbest bölgedeki elleçleme işlemleri için önceden izin gerekir mi; INF 8 Bilgi Formu kaç nüsha düzenlenir?,gumruk_yonetmeligi/normal/426,multi_part,medium,True,False,Madde 426 serbest bölgede elleçleme izni ile INF 8 nüsha sayısını düzenler.,,,,,,pending,
gy-015,Bağlayıcı tarife bilgisi başvuru formunda başvuru sahibinin adı ve adresi için alan var mı?,gumruk_yonetmeligi/annex/1,form_field,easy,True,False,EK-1 ilk alanında başvuru sahibinin adı ve adresi bulunur.,,,,,,pending,
gy-016,Bağlayıcı menşe bilgisi bildirim formunda BMB referans numarası ve geçerliliğin başlama tarihi hangi alanlarda gösterilir?,gumruk_yonetmeligi/annex/3,form_field,easy,True,False,EK-3 formunun 2 ve 3 numaralı alanları referans numarası ve geçerlilik başlangıcıdır.,,,,,,pending,
gy-017,Geçici depolama yeri ve antrepoya alınması bakımından özellik gösteren tehlikeli eşyaya ilişkin liste hangi sınıflandırmaya dayanır?,gumruk_yonetmeligi/annex/62,annex_list,medium,True,False,"EK-62 açıklaması ADR tehlikeli mallar listesine, sınıflarına ve UN(BM) kodlarına dayanır.",,,,,,pending,
gy-018,Antrepo veya serbest bölgedeki elleçleme faaliyetleri listesinde sekizli tarife pozisyonunun değişmesi bakımından genel kural nedir?,gumruk_yonetmeligi/annex/63,annex_list,medium,True,False,EK-63 girişinde sekizli tarife pozisyonu değişikliği için genel kural vardır.,,,,,,pending,
gy-019,Gümrük Statü Belgesinde eşyanın serbest dolaşımda olup olmadığı nasıl işaretlenir?,gumruk_yonetmeligi/annex/69,form_field,easy,True,False,EK-69 tablo metni uygun seçeneğin çarpı ile işaretlenmesini açıklar.,,,,,,pending,
gy-020,Antrepo rejimi kapsamındaki eşyaya ait tespit ve tahakkuk kağıdında antrepo firmasının unvanı ve adresi hangi formda yer alır?,gumruk_yonetmeligi/annex/70/a,ambiguity_resistant,medium,True,False,EK-70/A antrepo rejimi formudur; serbest bölgeye ilişkin EK-70 ile karıştırılmamalıdır.,,,,,,pending,
