benchmark,id,dataset,strategy,development_only,expected_sources,top5_chunk_ids,top5_sources,b0_b2_taxonomy,ANY@1,ALL@1,Legislation Hit@1,ANY@3,ALL@3,Legislation Hit@3,ANY@5,ALL@5,Legislation Hit@5,cross-law intrusion@5
M10E-A,q001,5326,B0,True,5326/normal/2,5326-madde-7-chunk-001 | 5326-madde-1-chunk-001 | 5326-madde-14-chunk-001 | 5326-madde-2-chunk-001 | 5326-madde-9-chunk-001,5326/normal/7 | 5326/normal/1 | 5326/normal/14 | 5326/normal/2 | 5326/normal/9,HYBRID RECOVERY,False,False,True,False,False,True,True,True,True,0.0
M10E-A,q001,5326,B2,True,5326/normal/2,5326-madde-2-chunk-001 | 5326-madde-7-chunk-001 | 5326-madde-4-chunk-001 | 5326-madde-15-chunk-001 | 5326-madde-5-chunk-001,5326/normal/2 | 5326/normal/7 | 5326/normal/4 | 5326/normal/15 | 5326/normal/5,HYBRID RECOVERY,True,True,True,True,True,True,True,True,True,0.0
M10E-A,q001,5326,C1,True,5326/normal/2,5326-madde-7-chunk-001 | 5326-madde-2-chunk-001 | 5326-madde-4-chunk-001 | 5326-madde-15-chunk-001 | 5326-madde-5-chunk-001,5326/normal/7 | 5326/normal/2 | 5326/normal/4 | 5326/normal/15 | 5326/normal/5,HYBRID RECOVERY,False,False,True,True,True,True,True,True,True,0.0
M10E-A,q001,5326,C2,True,5326/normal/2,5326-madde-7-chunk-001 | 5326-madde-2-chunk-001 | 5326-madde-1-chunk-001 | 5326-madde-4-chunk-001 | 5326-madde-14-chunk-001,5326/normal/7 | 5326/normal/2 | 5326/normal/1 | 5326/normal/4 | 5326/normal/14,HYBRID RECOVERY,False,False,True,True,True,True,True,True,True,0.0
M10E-A,q002,5326,B0,True,5326/normal/4,5326-madde-16-chunk-001 | 5326-madde-27-chunk-001 | 5326-madde-28-chunk-001 | 5326-madde-15-chunk-001 | 5326-madde-25-chunk-001,5326/normal/16 | 5326/normal/27 | 5326/normal/28 | 5326/normal/15 | 5326/normal/25,HYBRID RECOVERY | CROSS-LAW INTRUSION,False,False,True,False,False,True,False,False,True,0.0
M10E-A,q002,5326,B2,True,5326/normal/4,5326-madde-21-chunk-001 | 5326-madde-16-chunk-001 | 5326-madde-4-chunk-001 | 5326-madde-27-chunk-001 | 4458-madde-5-a-chunk-001,5326/normal/21 | 5326/normal/16 | 5326/normal/4 | 5326/normal/27 | 4458/normal/5/a,HYBRID RECOVERY | CROSS-LAW INTRUSION,False,False,True,True,True,True,True,True,True,0.2
M10E-A,q002,5326,C1,True,5326/normal/4,5326-madde-16-chunk-001 | 5326-madde-21-chunk-001 | 5326-madde-4-chunk-001 | 5326-madde-27-chunk-001 | 4458-madde-5-a-chunk-001,5326/normal/16 | 5326/normal/21 | 5326/normal/4 | 5326/normal/27 | 4458/normal/5/a,HYBRID RECOVERY | CROSS-LAW INTRUSION,False,False,True,True,True,True,True,True,True,0.2
M10E-A,q002,5326,C2,True,5326/normal/4,5326-madde-16-chunk-001 | 5326-madde-21-chunk-001 | 5326-madde-27-chunk-001 | 5326-madde-4-chunk-001 | 5326-madde-28-chunk-001,5326/normal/16 | 5326/normal/21 | 5326/normal/27 | 5326/normal/4 | 5326/normal/28,HYBRID RECOVERY | CROSS-LAW INTRUSION,False,False,True,False,False,True,True,True,True,0.0
M10E-A,q003,5326,B0,True,5326/normal/9,5326-madde-9-chunk-001 | 5326-madde-41-chunk-001 | 5326-madde-39-chunk-001 | 5326-madde-43-a-chunk-001 | 5326-madde-15-chunk-001,5326/normal/9 | 5326/normal/41 | 5326/normal/39 | 5326/normal/43/a | 5326/normal/15,BENIGN REORDERING,True,True,True,True,True,True,True,True,True,0.0
M10E-A,q003,5326,B2,True,5326/normal/9,5326-madde-9-chunk-001 | 5326-madde-39-chunk-001 | 5326-madde-15-chunk-001 | 5326-madde-14-chunk-001 | 5326-madde-41-chunk-001,5326/normal/9 | 5326/normal/39 | 5326/normal/15 | 5326/normal/14 | 5326/normal/41,BENIGN REORDERING,True,True,True,True,True,True,True,True,True,0.0
M10E-A,q003,5326,C1,True,5326/normal/9,5326-madde-9-chunk-001 | 5326-madde-39-chunk-001 | 5326-madde-15-chunk-001 | 5326-madde-14-chunk-001 | 5326-madde-41-chunk-001,5326/normal/9 | 5326/normal/39 | 5326/normal/15 | 5326/normal/14 | 5326/normal/41,BENIGN REORDERING,True,True,True,True,True,True,True,True,True,0.0
M10E-A,q003,5326,C2,True,5326/normal/9,5326-madde-9-chunk-001 | 5326-madde-39-chunk-001 | 5326-madde-41-chunk-001 | 5326-madde-15-chunk-001 | 5326-madde-43-a-chunk-001,5326/normal/9 | 5326/normal/39 | 5326/normal/41 | 5326/normal/15 | 5326/normal/43/a,BENIGN REORDERING,True,True,True,True,True,True,True,True,True,0.0
M10E-A,q004,5326,B0,True,5326/normal/11,5326-madde-11-chunk-001 | 5326-madde-21-chunk-001 | 5326-madde-20-chunk-001 | 5326-madde-43-a-chunk-001 | 5326-gecici-madde-3-chunk-001,5326/normal/11 | 5326/normal/21 | 5326/normal/20 | 5326/normal/43/a | 5326/gecici/3,BENIGN REORDERING,True,True,True,True,True,True,True,True,True,0.0
M10E-A,q004,5326,B2,True,5326/normal/11,5326-madde-11-chunk-001 | 5326-madde-43-c-chunk-001 | 5326-madde-20-chunk-001 | 5326-madde-17-chunk-001 | 5326-madde-41-chunk-001,5326/normal/11 | 5326/normal/43/c | 5326/normal/20 | 5326/normal/17 | 5326/normal/41,BENIGN REORDERING,True,True,True,True,True,True,True,True,True,0.0
M10E-A,q004,5326,C1,True,5326/normal/11,5326-madde-11-chunk-001 | 5326-madde-43-c-chunk-001 | 5326-madde-20-chunk-001 | 5326-madde-17-chunk-001 | 5326-madde-41-chunk-001,5326/normal/11 | 5326/normal/43/c | 5326/normal/20 | 5326/normal/17 | 5326/normal/41,BENIGN REORDERING,True,True,True,True,True,True,True,True,True,0.0
M10E-A,q004,5326,C2,True,5326/normal/11,5326-madde-11-chunk-001 | 5326-madde-43-c-chunk-001 | 5326-madde-21-chunk-001 | 5326-madde-20-chunk-001 | 5326-madde-43-a-chunk-001,5326/normal/11 | 5326/normal/43/c | 5326/normal/21 | 5326/normal/20 | 5326/normal/43/a,BENIGN REORDERING,True,True,True,True,True,True,True,True,True,0.0
M10E-A,q005,5326,B0,True,5326/normal/12,5326-madde-12-chunk-001 | 5326-madde-19-chunk-001 | 5326-madde-28-chunk-001 | 5326-madde-27-chunk-001 | 5326-madde-5-chunk-001,5326/normal/12 | 5326/normal/19 | 5326/normal/28 | 5326/normal/27 | 5326/normal/5,CROSS-LAW INTRUSION,True,True,True,True,True,True,True,True,True,0.0
M10E-A,q005,5326,B2,True,5326/normal/12,5326-madde-12-chunk-001 | 5326-madde-27-chunk-001 | 5326-madde-28-chunk-001 | 5326-madde-19-chunk-001 | 4458-gecici-madde-6-chunk-001,5326/normal/12 | 5326/normal/27 | 5326/normal/28 | 5326/normal/19 | 4458/gecici/6,CROSS-LAW INTRUSION,True,True,True,True,True,True,True,True,True,0.2
M10E-A,q005,5326,C1,True,5326/normal/12,5326-madde-12-chunk-001 | 5326-madde-27-chunk-001 | 5326-madde-28-chunk-001 | 5326-madde-19-chunk-001 | 4458-gecici-madde-6-chunk-001,5326/normal/12 | 5326/normal/27 | 5326/normal/28 | 5326/normal/19 | 4458/gecici/6,CROSS-LAW INTRUSION,True,True,True,True,True,True,True,True,True,0.2
M10E-A,q005,5326,C2,True,5326/normal/12,5326-madde-12-chunk-001 | 5326-madde-27-chunk-001 | 5326-madde-19-chunk-001 | 5326-madde-28-chunk-001 | 5326-madde-5-chunk-001,5326/normal/12 | 5326/normal/27 | 5326/normal/19 | 5326/normal/28 | 5326/normal/5,CROSS-LAW INTRUSION,True,True,True,True,True,True,True,True,True,0.0
M10E-A,q006,5326,B0,True,5326/normal/13,5326-madde-13-chunk-001 | 5326-madde-14-chunk-001 | 5326-madde-37-chunk-001 | 5326-madde-43-a-chunk-001 | 5326-madde-36-chunk-001,5326/normal/13 | 5326/normal/14 | 5326/normal/37 | 5326/normal/43/a | 5326/normal/36,CROSS-LAW INTRUSION,True,True,True,True,True,True,True,True,True,0.0
M10E-A,q006,5326,B2,True,5326/normal/13,5326-madde-13-chunk-001 | 5326-madde-37-chunk-001 | 5326-madde-14-chunk-001 | 5326-madde-20-chunk-001 | 4458-madde-239-chunk-001,5326/normal/13 | 5326/normal/37 | 5326/normal/14 | 5326/normal/20 | 4458/normal/239,CROSS-LAW INTRUSION,True,True,True,True,True,True,True,True,True,0.2
M10E-A,q006,5326,C1,True,5326/normal/13,5326-madde-13-chunk-001 | 5326-madde-37-chunk-001 | 5326-madde-14-chunk-001 | 5326-madde-20-chunk-001 | 4458-madde-239-chunk-001,5326/normal/13 | 5326/normal/37 | 5326/normal/14 | 5326/normal/20 | 4458/normal/239,CROSS-LAW INTRUSION,True,True,True,True,True,True,True,True,True,0.2
M10E-A,q006,5326,C2,True,5326/normal/13,5326-madde-13-chunk-001 | 5326-madde-37-chunk-001 | 5326-madde-14-chunk-001 | 5326-madde-20-chunk-001 | 5326-madde-43-a-chunk-001,5326/normal/13 | 5326/normal/37 | 5326/normal/14 | 5326/normal/20 | 5326/normal/43/a,CROSS-LAW INTRUSION,True,True,True,True,True,True,True,True,True,0.0
M10E-A,q007,5326,B0,True,5326/normal/14,5326-madde-14-chunk-001 | 5326-madde-8-chunk-001 | 5326-madde-41-chunk-001 | 5326-madde-43-a-chunk-001 | 5326-madde-7-chunk-001,5326/normal/14 | 5326/normal/8 | 5326/normal/41 | 5326/normal/43/a | 5326/normal/7,BENIGN REORDERING,True,True,True,True,True,True,True,True,True,0.0
M10E-A,q007,5326,B2,True,5326/normal/14,5326-madde-14-chunk-001 | 5326-madde-15-chunk-001 | 5326-madde-7-chunk-001 | 5326-madde-8-chunk-001 | 5326-madde-23-chunk-001,5326/normal/14 | 5326/normal/15 | 5326/normal/7 | 5326/normal/8 | 5326/normal/23,BENIGN REORDERING,True,True,True,True,True,True,True,True,True,0.0
M10E-A,q007,5326,C1,True,5326/normal/14,5326-madde-14-chunk-001 | 5326-madde-15-chunk-001 | 5326-madde-7-chunk-001 | 5326-madde-8-chunk-001 | 5326-madde-23-chunk-001,5326/normal/14 | 5326/normal/15 | 5326/normal/7 | 5326/normal/8 | 5326/normal/23,BENIGN REORDERING,True,True,True,True,True,True,True,True,True,0.0
M10E-A,q007,5326,C2,True,5326/normal/14,5326-madde-14-chunk-001 | 5326-madde-15-chunk-001 | 5326-madde-8-chunk-001 | 5326-madde-7-chunk-001 | 5326-madde-41-chunk-001,5326/normal/14 | 5326/normal/15 | 5326/normal/8 | 5326/normal/7 | 5326/normal/41,BENIGN REORDERING,True,True,True,True,True,True,True,True,True,0.0
M10E-A,q008,5326,B0,True,5326/normal/15,5326-madde-15-chunk-001 | 5326-madde-27-chunk-001 | 5326-madde-28-chunk-001 | 5326-madde-25-chunk-001 | 5326-madde-16-chunk-001,5326/normal/15 | 5326/normal/27 | 5326/normal/28 | 5326/normal/25 | 5326/normal/16,BENIGN REORDERING,True,True,True,True,True,True,True,True,True,0.0
M10E-A,q008,5326,B2,True,5326/normal/15,5326-madde-15-chunk-001 | 5326-madde-27-chunk-001 | 5326-madde-25-chunk-001 | 5326-madde-14-chunk-001 | 5326-madde-24-chunk-001,5326/normal/15 | 5326/normal/27 | 5326/normal/25 | 5326/normal/14 | 5326/normal/24,BENIGN REORDERING,True,True,True,True,True,True,True,True,True,0.0
M10E-A,q008,5326,C1,True,5326/normal/15,5326-madde-15-chunk-001 | 5326-madde-27-chunk-001 | 5326-madde-25-chunk-001 | 5326-madde-14-chunk-001 | 5326-madde-24-chunk-001,5326/normal/15 | 5326/normal/27 | 5326/normal/25 | 5326/normal/14 | 5326/normal/24,BENIGN REORDERING,True,True,True,True,True,True,True,True,True,0.0
M10E-A,q008,5326,C2,True,5326/normal/15,5326-madde-15-chunk-001 | 5326-madde-27-chunk-001 | 5326-madde-28-chunk-001 | 5326-madde-25-chunk-001 | 5326-madde-16-chunk-001,5326/normal/15 | 5326/normal/27 | 5326/normal/28 | 5326/normal/25 | 5326/normal/16,BENIGN REORDERING,True,True,True,True,True,True,True,True,True,0.0
M10E-A,q009,5326,B0,True,5326/normal/16,5326-madde-16-chunk-001 | 5326-madde-27-chunk-001 | 5326-madde-25-chunk-001 | 5326-madde-28-chunk-001 | 5326-madde-17-chunk-001,5326/normal/16 | 5326/normal/27 | 5326/normal/25 | 5326/normal/28 | 5326/normal/17,BENIGN REORDERING,True,True,True,True,True,True,True,True,True,0.0
M10E-A,q009,5326,B2,True,5326/normal/16,5326-madde-16-chunk-001 | 5326-madde-27-chunk-001 | 5326-madde-25-chunk-001 | 5326-madde-28-chunk-001 | 5326-madde-22-chunk-001,5326/normal/16 | 5326/normal/27 | 5326/normal/25 | 5326/normal/28 | 5326/normal/22,BENIGN REORDERING,True,True,True,True,True,True,True,True,True,0.0
M10E-A,q009,5326,C1,True,5326/normal/16,5326-madde-16-chunk-001 | 5326-madde-27-chunk-001 | 5326-madde-25-chunk-001 | 5326-madde-28-chunk-001 | 5326-madde-22-chunk-001,5326/normal/16 | 5326/normal/27 | 5326/normal/25 | 5326/normal/28 | 5326/normal/22,BENIGN REORDERING,True,True,True,True,True,True,True,True,True,0.0
