id,query,expected_sources,rank,chunk_id,document_id,source,distance,best_5607_rank,best_4458_rank,best_5326_rank,source_margin,document_margin,correct_document_absent_top5,gold_exists_in_local_corpus,explicit_5607,query_tokens,taxonomy,competitor_text_status,top_wrong_4458_snippet,text_finding
k5607-001,"5607 sayılı Kanunun amacı nedir; hangi fiilleri, yaptırımları ve hangi usul ve esasları belirlemeyi hedefler?",5607_kacakcilikla_mucadele_kanunu/normal/1,1,5607-madde-1-chunk-001,5607_kacakcilikla_mucadele_kanunu,5607_kacakcilikla_mucadele_kanunu/normal/1,0.659146249294281,1,2,3,0.0,0.0,False,True,True,14,,complete,"Madde 1 – Bu Kanunun amacı, Türkiye Cumhuriyeti Gümrük Bölgesine giren ve çıkan eşyaya ve taşıt araçlarına uygulanacak gümrük kurallarını belirlemektir.",Descriptive token comparison; no causal attribution.
k5607-001,"5607 sayılı Kanunun amacı nedir; hangi fiilleri, yaptırımları ve hangi usul ve esasları belirlemeyi hedefler?",5607_kacakcilikla_mucadele_kanunu/normal/1,2,4458-madde-1-chunk-001,4458_gumruk_kanunu,4458_gumruk_kanunu/normal/1,0.8213632106781006,1,2,3,0.0,0.0,False,True,True,14,,complete,"Madde 1 – Bu Kanunun amacı, Türkiye Cumhuriyeti Gümrük Bölgesine giren ve çıkan eşyaya ve taşıt araçlarına uygulanacak gümrük kurallarını belirlemektir.",Descriptive token comparison; no causal attribution.
k5607-001,"5607 sayılı Kanunun amacı nedir; hangi fiilleri, yaptırımları ve hangi usul ve esasları belirlemeyi hedefler?",5607_kacakcilikla_mucadele_kanunu/normal/1,3,5326-madde-4-chunk-001,5326_kabahatler_kanunu,5326_kabahatler_kanunu/normal/4,0.8330792188644409,1,2,3,0.0,0.0,False,True,True,14,,complete,"Madde 1 – Bu Kanunun amacı, Türkiye Cumhuriyeti Gümrük Bölgesine giren ve çıkan eşyaya ve taşıt araçlarına uygulanacak gümrük kurallarını belirlemektir.",Descriptive token comparison; no causal attribution.
k5607-001,"5607 sayılı Kanunun amacı nedir; hangi fiilleri, yaptırımları ve hangi usul ve esasları belirlemeyi hedefler?",5607_kacakcilikla_mucadele_kanunu/normal/1,4,5326-madde-1-chunk-001,5326_kabahatler_kanunu,5326_kabahatler_kanunu/normal/1,0.8481952548027039,1,2,3,0.0,0.0,False,True,True,14,,complete,"Madde 1 – Bu Kanunun amacı, Türkiye Cumhuriyeti Gümrük Bölgesine giren ve çıkan eşyaya ve taşıt araçlarına uygulanacak gümrük kurallarını belirlemektir.",Descriptive token comparison; no causal attribution.
k5607-001,"5607 sayılı Kanunun amacı nedir; hangi fiilleri, yaptırımları ve hangi usul ve esasları belirlemeyi hedefler?",5607_kacakcilikla_mucadele_kanunu/normal/1,5,5607-madde-19-chunk-001,5607_kacakcilikla_mucadele_kanunu,5607_kacakcilikla_mucadele_kanunu/normal/19,0.8712030649185181,1,2,3,0.0,0.0,False,True,True,14,,complete,"Madde 1 – Bu Kanunun amacı, Türkiye Cumhuriyeti Gümrük Bölgesine giren ve çıkan eşyaya ve taşıt araçlarına uygulanacak gümrük kurallarını belirlemektir.",Descriptive token comparison; no causal attribution.
k5607-002,5607 sayılı Kanunda “gümrüklenmiş değer” nasıl tanımlanır ve ithal ve ihraç eşyası bakımından hangi değerlerin toplamı esas alınır?,5607_kacakcilikla_mucadele_kanunu/normal/2,1,4458-madde-25-chunk-001,4458_gumruk_kanunu,4458_gumruk_kanunu/normal/25,0.6853777170181274,,1,,,,True,True,True,17,D,complete,"d) İthal eşyasının üretiminde kullanılan malzeme ve imalat veya diğer imal işlemlerinin bedel veya kıymetleri ile Türkiye'ye ihraç edilmek üzere ihraç ülkesindeki üreticiler tarafından üretilen, kıymeti belirlenecek eşya ile aynı sınıf veya cins eşyanın satışında mutat olan kar ve genel giderlere eşit bir tutar ve 27 nci maddenin 1 inci fıkrasının (e) bendinde sayılan diğer bedel veya kıymetler toplamından oluşan hesaplanmış kıymet.","Valuation language connects 4458/25 (alternative customs valuation, sale price, calculated value) to the requested definition. The 5607 definition and import/export components remain the correct target; the explicit law number did not enforce scope."
k5607-002,5607 sayılı Kanunda “gümrüklenmiş değer” nasıl tanımlanır ve ithal ve ihraç eşyası bakımından hangi değerlerin toplamı esas alınır?,5607_kacakcilikla_mucadele_kanunu/normal/2,2,4458-madde-235-chunk-001,4458_gumruk_kanunu,4458_gumruk_kanunu/normal/235,0.692853569984436,,1,,,,True,True,True,17,D,complete,"d) İthal eşyasının üretiminde kullanılan malzeme ve imalat veya diğer imal işlemlerinin bedel veya kıymetleri ile Türkiye'ye ihraç edilmek üzere ihraç ülkesindeki üreticiler tarafından üretilen, kıymeti belirlenecek eşya ile aynı sınıf veya cins eşyanın satışında mutat olan kar ve genel giderlere eşit bir tutar ve 27 nci maddenin 1 inci fıkrasının (e) bendinde sayılan diğer bedel veya kıymetler toplamından oluşan hesaplanmış kıymet.","Valuation language connects 4458/25 (alternative customs valuation, sale price, calculated value) to the requested definition. The 5607 definition and import/export components remain the correct target; the explicit law number did not enforce scope."
k5607-002,5607 sayılı Kanunda “gümrüklenmiş değer” nasıl tanımlanır ve ithal ve ihraç eşyası bakımından hangi değerlerin toplamı esas alınır?,5607_kacakcilikla_mucadele_kanunu/normal/2,3,4458-madde-126-chunk-001,4458_gumruk_kanunu,4458_gumruk_kanunu/normal/126,0.6958940625190735,,1,,,,True,True,True,17,D,complete,"d) İthal eşyasının üretiminde kullanılan malzeme ve imalat veya diğer imal işlemlerinin bedel veya kıymetleri ile Türkiye'ye ihraç edilmek üzere ihraç ülkesindeki üreticiler tarafından üretilen, kıymeti belirlenecek eşya ile aynı sınıf veya cins eşyanın satışında mutat olan kar ve genel giderlere eşit bir tutar ve 27 nci maddenin 1 inci fıkrasının (e) bendinde sayılan diğer bedel veya kıymetler toplamından oluşan hesaplanmış kıymet.","Valuation language connects 4458/25 (alternative customs valuation, sale price, calculated value) to the requested definition. The 5607 definition and import/export components remain the correct target; the explicit law number did not enforce scope."
k5607-002,5607 sayılı Kanunda “gümrüklenmiş değer” nasıl tanımlanır ve ithal ve ihraç eşyası bakımından hangi değerlerin toplamı esas alınır?,5607_kacakcilikla_mucadele_kanunu/normal/2,4,4458-madde-143-chunk-001,4458_gumruk_kanunu,4458_gumruk_kanunu/normal/143,0.7029900550842285,,1,,,,True,True,True,17,D,complete,"d) İthal eşyasının üretiminde kullanılan malzeme ve imalat veya diğer imal işlemlerinin bedel veya kıymetleri ile Türkiye'ye ihraç edilmek üzere ihraç ülkesindeki üreticiler tarafından üretilen, kıymeti belirlenecek eşya ile aynı sınıf veya cins eşyanın satışında mutat olan kar ve genel giderlere eşit bir tutar ve 27 nci maddenin 1 inci fıkrasının (e) bendinde sayılan diğer bedel veya kıymetler toplamından oluşan hesaplanmış kıymet.","Valuation language connects 4458/25 (alternative customs valuation, sale price, calculated value) to the requested definition. The 5607 definition and import/export components remain the correct target; the explicit law number did not enforce scope."
k5607-002,5607 sayılı Kanunda “gümrüklenmiş değer” nasıl tanımlanır ve ithal ve ihraç eşyası bakımından hangi değerlerin toplamı esas alınır?,5607_kacakcilikla_mucadele_kanunu/normal/2,5,4458-madde-26-chunk-001,4458_gumruk_kanunu,4458_gumruk_kanunu/normal/26,0.7031389474868774,,1,,,,True,True,True,17,D,complete,"d) İthal eşyasının üretiminde kullanılan malzeme ve imalat veya diğer imal işlemlerinin bedel veya kıymetleri ile Türkiye'ye ihraç edilmek üzere ihraç ülkesindeki üreticiler tarafından üretilen, kıymeti belirlenecek eşya ile aynı sınıf veya cins eşyanın satışında mutat olan kar ve genel giderlere eşit bir tutar ve 27 nci maddenin 1 inci fıkrasının (e) bendinde sayılan diğer bedel veya kıymetler toplamından oluşan hesaplanmış kıymet.","Valuation language connects 4458/25 (alternative customs valuation, sale price, calculated value) to the requested definition. The 5607 definition and import/export components remain the correct target; the explicit law number did not enforce scope."
