id,question,variant,rank,chunk_id,document_source_key,document_id,distance,expected_sources,source_any@1,source_any@3,source_any@5,source_all@1,source_all@3,source_all@5,document_hit@1,document_hit@3,document_hit@5,document_all@1,document_all@3,document_all@5,document_intrusion@1,document_intrusion@3,document_intrusion@5
q001,Kabahat nedir?,B0,1,5326-madde-7-chunk-001,5326_kabahatler_kanunu/normal/7,5326_kabahatler_kanunu,1.0307362079620361,5326_kabahatler_kanunu/normal/2,False,False,True,False,False,True,True,True,True,True,True,True,0.0,0.0,0.0
q001,Kabahat nedir?,B0,2,5326-madde-1-chunk-001,5326_kabahatler_kanunu/normal/1,5326_kabahatler_kanunu,1.0609660148620605,5326_kabahatler_kanunu/normal/2,False,False,True,False,False,True,True,True,True,True,True,True,0.0,0.0,0.0
q001,Kabahat nedir?,B0,3,5326-madde-14-chunk-001,5326_kabahatler_kanunu/normal/14,5326_kabahatler_kanunu,1.091737985610962,5326_kabahatler_kanunu/normal/2,False,False,True,False,False,True,True,True,True,True,True,True,0.0,0.0,0.0
q001,Kabahat nedir?,B0,4,5326-madde-2-chunk-001,5326_kabahatler_kanunu/normal/2,5326_kabahatler_kanunu,1.1016024351119995,5326_kabahatler_kanunu/normal/2,False,False,True,False,False,True,True,True,True,True,True,True,0.0,0.0,0.0
q001,Kabahat nedir?,B0,5,5326-madde-9-chunk-001,5326_kabahatler_kanunu/normal/9,5326_kabahatler_kanunu,1.1041622161865234,5326_kabahatler_kanunu/normal/2,False,False,True,False,False,True,True,True,True,True,True,True,0.0,0.0,0.0
q001,Kabahat nedir?,B0,6,5326-madde-5-chunk-001,5326_kabahatler_kanunu/normal/5,5326_kabahatler_kanunu,1.1055271625518799,5326_kabahatler_kanunu/normal/2,False,False,True,False,False,True,True,True,True,True,True,True,0.0,0.0,0.0
q001,Kabahat nedir?,B0,7,5326-madde-22-chunk-001,5326_kabahatler_kanunu/normal/22,5326_kabahatler_kanunu,1.1073379516601562,5326_kabahatler_kanunu/normal/2,False,False,True,False,False,True,True,True,True,True,True,True,0.0,0.0,0.0
q001,Kabahat nedir?,B0,8,5326-madde-15-chunk-001,5326_kabahatler_kanunu/normal/15,5326_kabahatler_kanunu,1.1308094263076782,5326_kabahatler_kanunu/normal/2,False,False,True,False,False,True,True,True,True,True,True,True,0.0,0.0,0.0
q001,Kabahat nedir?,B0,9,5326-madde-13-chunk-001,5326_kabahatler_kanunu/normal/13,5326_kabahatler_kanunu,1.1336555480957031,5326_kabahatler_kanunu/normal/2,False,False,True,False,False,True,True,True,True,True,True,True,0.0,0.0,0.0
q001,Kabahat nedir?,B0,10,5326-madde-4-chunk-001,5326_kabahatler_kanunu/normal/4,5326_kabahatler_kanunu,1.1407301425933838,5326_kabahatler_kanunu/normal/2,False,False,True,False,False,True,True,True,True,True,True,True,0.0,0.0,0.0
q001,Kabahat nedir?,B0,11,5326-madde-10-chunk-001,5326_kabahatler_kanunu/normal/10,5326_kabahatler_kanunu,1.1486715078353882,5326_kabahatler_kanunu/normal/2,False,False,True,False,False,True,True,True,True,True,True,True,0.0,0.0,0.0
