id,question,expected_sources,expected_document_ids,rank,chunk_id,document_source_key,document_id,distance,article_id,article_title,source_path,top1_document_id,top1_document_expected,expected_document_top3,expected_document_top5,A_complete_top5_miss,B_partial_multi_source_miss,C_correct_document_wrong_articles,D_wrong_document_intrusion,missing_sources,source_any@1,source_any@3,source_any@5,source_all@1,source_all@3,source_all@5,document_hit@1,document_hit@3,document_hit@5,document_all@1,document_all@3,document_all@5,document_intrusion@1,document_intrusion@3,document_intrusion@5
q001,Kabahat nedir?,5326_kabahatler_kanunu/normal/2,5326_kabahatler_kanunu,1,5326-madde-7-chunk-001,5326_kabahatler_kanunu/normal/7,5326_kabahatler_kanunu,1.0306315422058105,5326-madde-7,Kabahatin ihmali davranışla işlenmesi,,5326_kabahatler_kanunu,True,True,True,False,False,False,False,,False,False,True,False,False,True,True,True,True,True,True,True,0.0,0.0,0.0
q001,Kabahat nedir?,5326_kabahatler_kanunu/normal/2,5326_kabahatler_kanunu,2,5326-madde-1-chunk-001,5326_kabahatler_kanunu/normal/1,5326_kabahatler_kanunu,1.0608350038528442,5326-madde-1,Amaç ve kapsam,,5326_kabahatler_kanunu,True,True,True,False,False,False,False,,False,False,True,False,False,True,True,True,True,True,True,True,0.0,0.0,0.0
q001,Kabahat nedir?,5326_kabahatler_kanunu/normal/2,5326_kabahatler_kanunu,3,5326-madde-14-chunk-001,5326_kabahatler_kanunu/normal/14,5326_kabahatler_kanunu,1.091611385345459,5326-madde-14,İştirak,,5326_kabahatler_kanunu,True,True,True,False,False,False,False,,False,False,True,False,False,True,True,True,True,True,True,True,0.0,0.0,0.0
q001,Kabahat nedir?,5326_kabahatler_kanunu/normal/2,5326_kabahatler_kanunu,4,5326-madde-2-chunk-001,5326_kabahatler_kanunu/normal/2,5326_kabahatler_kanunu,1.1014589071273804,5326-madde-2,Tanım,,5326_kabahatler_kanunu,True,True,True,False,False,False,False,,False,False,True,False,False,True,True,True,True,True,True,True,0.0,0.0,0.0
q001,Kabahat nedir?,5326_kabahatler_kanunu/normal/2,5326_kabahatler_kanunu,5,5326-madde-9-chunk-001,5326_kabahatler_kanunu/normal/9,5326_kabahatler_kanunu,1.104102373123169,5326-madde-9,Kast veya taksir,,5326_kabahatler_kanunu,True,True,True,False,False,False,False,,False,False,True,False,False,True,True,True,True,True,True,True,0.0,0.0,0.0
q002,"Kabahat karşılığı uygulanacak yaptırımın türü, süresi ve miktarı hangi esasla belirlenir?",5326_kabahatler_kanunu/normal/4,5326_kabahatler_kanunu,1,5326-madde-16-chunk-001,5326_kabahatler_kanunu/normal/16,5326_kabahatler_kanunu,0.8263930678367615,5326-madde-16,Yaptırım türleri,,5326_kabahatler_kanunu,True,True,True,True,False,True,False,5326_kabahatler_kanunu/normal/4,False,False,False,False,False,False,True,True,True,True,True,True,0.0,0.0,0.0
q002,"Kabahat karşılığı uygulanacak yaptırımın türü, süresi ve miktarı hangi esasla belirlenir?",5326_kabahatler_kanunu/normal/4,5326_kabahatler_kanunu,2,5326-madde-27-chunk-001,5326_kabahatler_kanunu/normal/27,5326_kabahatler_kanunu,0.8296042084693909,5326-madde-27,Başvuru yolu,,5326_kabahatler_kanunu,True,True,True,True,False,True,False,5326_kabahatler_kanunu/normal/4,False,False,False,False,False,False,True,True,True,True,True,True,0.0,0.0,0.0
q002,"Kabahat karşılığı uygulanacak yaptırımın türü, süresi ve miktarı hangi esasla belirlenir?",5326_kabahatler_kanunu/normal/4,5326_kabahatler_kanunu,3,5326-madde-28-chunk-001,5326_kabahatler_kanunu/normal/28,5326_kabahatler_kanunu,0.8440083265304565,5326-madde-28,Başvurunun incelenmesi,,5326_kabahatler_kanunu,True,True,True,True,False,True,False,5326_kabahatler_kanunu/normal/4,False,False,False,False,False,False,True,True,True,True,True,True,0.0,0.0,0.0
q002,"Kabahat karşılığı uygulanacak yaptırımın türü, süresi ve miktarı hangi esasla belirlenir?",5326_kabahatler_kanunu/normal/4,5326_kabahatler_kanunu,4,5326-madde-15-chunk-001,5326_kabahatler_kanunu/normal/15,5326_kabahatler_kanunu,0.8689979314804077,5326-madde-15,İçtima,,5326_kabahatler_kanunu,True,True,True,True,False,True,False,5326_kabahatler_kanunu/normal/4,False,False,False,False,False,False,True,True,True,True,True,True,0.0,0.0,0.0
q002,"Kabahat karşılığı uygulanacak yaptırımın türü, süresi ve miktarı hangi esasla belirlenir?",5326_kabahatler_kanunu/normal/4,5326_kabahatler_kanunu,5,5326-madde-25-chunk-001,5326_kabahatler_kanunu/normal/25,5326_kabahatler_kanunu,0.8731067180633545,5326-madde-25,İdarî yaptırım kararı,,5326_kabahatler_kanunu,True,True,True,True,False,True,False,5326_kabahatler_kanunu/normal/4,False,False,False,False,False,False,True,True,True,True,True,True,0.0,0.0,0.0
q003,Bir kabahatin kasten veya taksirle işlenmesi nasıl düzenlenmiştir?,5326_kabahatler_kanunu/normal/9,5326_kabahatler_kanunu,1,5326-madde-9-chunk-001,5326_kabahatler_kanunu/normal/9,5326_kabahatler_kanunu,0.7092288732528687,5326-madde-9,Kast veya taksir,,5326_kabahatler_kanunu,True,True,True,False,False,False,False,,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,0.0
q003,Bir kabahatin kasten veya taksirle işlenmesi nasıl düzenlenmiştir?,5326_kabahatler_kanunu/normal/9,5326_kabahatler_kanunu,2,5326-madde-41-chunk-001,5326_kabahatler_kanunu/normal/41,5326_kabahatler_kanunu,0.8592187762260437,5326-madde-41,Çevreyi kirletme,,5326_kabahatler_kanunu,True,True,True,False,False,False,False,,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,0.0
q003,Bir kabahatin kasten veya taksirle işlenmesi nasıl düzenlenmiştir?,5326_kabahatler_kanunu/normal/9,5326_kabahatler_kanunu,3,5326-madde-39-chunk-001,5326_kabahatler_kanunu/normal/39,5326_kabahatler_kanunu,0.9324946403503418,5326-madde-39,Tütün mamullerinin tüketilmesi,,5326_kabahatler_kanunu,True,True,True,False,False,False,False,,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,0.0
q003,Bir kabahatin kasten veya taksirle işlenmesi nasıl düzenlenmiştir?,5326_kabahatler_kanunu/normal/9,5326_kabahatler_kanunu,4,5326-madde-43-a-chunk-001,5326_kabahatler_kanunu/normal/43/a,5326_kabahatler_kanunu,0.9503608345985413,5326-madde-43-a,Tüzel kişilerin sorumluluğu,,5326_kabahatler_kanunu,True,True,True,False,False,False,False,,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,0.0
q003,Bir kabahatin kasten veya taksirle işlenmesi nasıl düzenlenmiştir?,5326_kabahatler_kanunu/normal/9,5326_kabahatler_kanunu,5,5326-madde-15-chunk-001,5326_kabahatler_kanunu/normal/15,5326_kabahatler_kanunu,0.9540412425994873,5326-madde-15,İçtima,,5326_kabahatler_kanunu,True,True,True,False,False,False,False,,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,0.0
q004,Onbeş yaşını doldurmamış çocuk hakkında idarî para cezası uygulanabilir mi?,5326_kabahatler_kanunu/normal/11,5326_kabahatler_kanunu,1,5326-madde-11-chunk-001,5326_kabahatler_kanunu/normal/11,5326_kabahatler_kanunu,0.6392918825149536,5326-madde-11,Sorumluluk,,5326_kabahatler_kanunu,True,True,True,False,False,False,False,,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,0.0
q004,Onbeş yaşını doldurmamış çocuk hakkında idarî para cezası uygulanabilir mi?,5326_kabahatler_kanunu/normal/11,5326_kabahatler_kanunu,2,5326-madde-21-chunk-001,5326_kabahatler_kanunu/normal/21,5326_kabahatler_kanunu,0.9034841060638428,5326-madde-21,Yerine getirme zamanaşımı,,5326_kabahatler_kanunu,True,True,True,False,False,False,False,,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,0.0
q004,Onbeş yaşını doldurmamış çocuk hakkında idarî para cezası uygulanabilir mi?,5326_kabahatler_kanunu/normal/11,5326_kabahatler_kanunu,3,5326-madde-20-chunk-001,5326_kabahatler_kanunu/normal/20,5326_kabahatler_kanunu,0.9080278873443604,5326-madde-20,Soruşturma zamanaşımı,,5326_kabahatler_kanunu,True,True,True,False,False,False,False,,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,0.0
q004,Onbeş yaşını doldurmamış çocuk hakkında idarî para cezası uygulanabilir mi?,5326_kabahatler_kanunu/normal/11,5326_kabahatler_kanunu,4,5326-madde-43-a-chunk-001,5326_kabahatler_kanunu/normal/43/a,5326_kabahatler_kanunu,0.9460873603820801,5326-madde-43-a,Tüzel kişilerin sorumluluğu,,5326_kabahatler_kanunu,True,True,True,False,False,False,False,,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,0.0
q004,Onbeş yaşını doldurmamış çocuk hakkında idarî para cezası uygulanabilir mi?,5326_kabahatler_kanunu/normal/11,5326_kabahatler_kanunu,5,5326-gecici-madde-3-chunk-001,5326_kabahatler_kanunu/gecici/3,5326_kabahatler_kanunu,0.9614971876144409,5326-gecici-madde-3,,,5326_kabahatler_kanunu,True,True,True,False,False,False,False,,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,0.0
q005,Hukuka uygunluk nedenleri ve kusurluluğu ortadan kaldıran nedenlerde hangi hükümler uygulanır?,5326_kabahatler_kanunu/normal/12,5326_kabahatler_kanunu,1,5326-madde-12-chunk-001,5326_kabahatler_kanunu/normal/12,5326_kabahatler_kanunu,0.6117033958435059,5326-madde-12,Hukuka uygunluk nedenleri ile kusurluluğu ortadan kaldıran nedenler,,5326_kabahatler_kanunu,True,True,True,False,False,False,False,,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,0.0
q005,Hukuka uygunluk nedenleri ve kusurluluğu ortadan kaldıran nedenlerde hangi hükümler uygulanır?,5326_kabahatler_kanunu/normal/12,5326_kabahatler_kanunu,2,5326-madde-19-chunk-001,5326_kabahatler_kanunu/normal/19,5326_kabahatler_kanunu,0.9149014353752136,5326-madde-19,Saklı tutulan hükümler,,5326_kabahatler_kanunu,True,True,True,False,False,False,False,,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,0.0
