id,question,true_document,prediction,status,input_tokens,output_tokens,total_tokens
q001,Kabahat nedir?,5326_kabahatler_kanunu,5326_kabahatler_kanunu | 5607_kacakcilikla_mucadele_kanunu | 4458_gumruk_kanunu,success,201,49,250
q002,"Kabahat karşılığı uygulanacak yaptırımın türü, süresi ve miktarı hangi esasla belirlenir?",5326_kabahatler_kanunu,5326_kabahatler_kanunu | 5607_kacakcilikla_mucadele_kanunu | 4458_gumruk_kanunu,success,220,49,269
q003,Bir kabahatin kasten veya taksirle işlenmesi nasıl düzenlenmiştir?,5326_kabahatler_kanunu,5326_kabahatler_kanunu | 5607_kacakcilikla_mucadele_kanunu | 4458_gumruk_kanunu,success,214,49,263
q004,Onbeş yaşını doldurmamış çocuk hakkında idarî para cezası uygulanabilir mi?,5326_kabahatler_kanunu,5326_kabahatler_kanunu | 5607_kacakcilikla_mucadele_kanunu | 4458_gumruk_kanunu,success,217,49,266
q005,Hukuka uygunluk nedenleri ve kusurluluğu ortadan kaldıran nedenlerde hangi hükümler uygulanır?,5326_kabahatler_kanunu,5326_kabahatler_kanunu | 5607_kacakcilikla_mucadele_kanunu | 4458_gumruk_kanunu,success,220,49,269
q006,Kabahate teşebbüs cezalandırılır mı?,5326_kabahatler_kanunu,5326_kabahatler_kanunu | 5607_kacakcilikla_mucadele_kanunu | 4458_gumruk_kanunu,success,208,49,257
q007,Bir kabahatin işlenmesine birden fazla kişi katılırsa sorumluluk nasıl belirlenir?,5326_kabahatler_kanunu,5326_kabahatler_kanunu | 5607_kacakcilikla_mucadele_kanunu | 4458_gumruk_kanunu,success,218,49,267
q008,Aynı fiille birden fazla kabahat işlenirse idarî yaptırım nasıl belirlenir?,5326_kabahatler_kanunu,5326_kabahatler_kanunu | 5607_kacakcilikla_mucadele_kanunu | 4458_gumruk_kanunu,success,218,49,267
q009,Kabahatler karşılığında uygulanabilecek idarî yaptırım türleri nelerdir?,5326_kabahatler_kanunu,5326_kabahatler_kanunu | 5607_kacakcilikla_mucadele_kanunu | 4458_gumruk_kanunu,success,214,49,263
q010,İdarî para cezasının türleri ve ceza miktarının belirlenmesinde dikkate alınacak ölçütler nelerdir?,5326_kabahatler_kanunu,5326_kabahatler_kanunu | 4458_gumruk_kanunu | 5607_kacakcilikla_mucadele_kanunu,success,226,93,319
q011,Kabahatlerde soruşturma zamanaşımı süresi nasıl belirlenir?,5326_kabahatler_kanunu,5326_kabahatler_kanunu | 5607_kacakcilikla_mucadele_kanunu | 4458_gumruk_kanunu,success,213,49,262
q012,Kesinleşen idarî yaptırım kararlarının yerine getirilmesinde zamanaşımı nasıl düzenlenmiştir?,5326_kabahatler_kanunu,5326_kabahatler_kanunu | 4458_gumruk_kanunu | 5607_kacakcilikla_mucadele_kanunu,success,220,131,351
q013,İdarî yaptırım kararına ilişkin tutanakta hangi bilgilerin bulunması gerekir?,5326_kabahatler_kanunu,5326_kabahatler_kanunu | 4458_gumruk_kanunu | 5607_kacakcilikla_mucadele_kanunu,success,214,85,299
q014,İdarî para cezasına karşı hangi sürede ve nereye başvurulabilir?,5326_kabahatler_kanunu,5326_kabahatler_kanunu | 4458_gumruk_kanunu | 5607_kacakcilikla_mucadele_kanunu,success,215,49,264
