id,type,question,expected_keys,retrieved,expected_source_ranks,hit@1,hit@3,hit@5,reciprocal_rank@5,recall@5,full_coverage@5,both_expected_sources@5,wrong_document_count@5,wrong_document_fraction@5,wrong_document_ranks,embedding_usage,latency_ms,distance_metric
gy-001,article,Gümrük Yönetmeliğinin amacı ve kapsamı nedir?,"[""gumruk_yonetmeligi/normal/1""]","[{""rank"": 1, ""chunk_id"": ""gumruk_yonetmeligi-madde-1-chunk-001"", ""source_key"": ""gumruk_yonetmeligi/normal/1"", ""document_id"": ""gumruk_yonetmeligi"", ""distance"": 0.42595696449279785}, {""rank"": 2, ""chunk_id"": ""gumruk_yonetmeligi-ek-43-chunk-002"", ""source_key"": ""gumruk_yonetmeligi/annex/43"", ""document_id"": ""gumruk_yonetmeligi"", ""distance"": 0.6278953552246094}, {""rank"": 3, ""chunk_id"": ""gumruk_yonetmeligi-madde-371-chunk-001"", ""source_key"": ""gumruk_yonetmeligi/normal/371"", ""document_id"": ""gumruk_yonetmeligi"", ""distance"": 0.6325069069862366}, {""rank"": 4, ""chunk_id"": ""gumruk_yonetmeligi-ek-41-chunk-002"", ""source_key"": ""gumruk_yonetmeligi/annex/41"", ""document_id"": ""gumruk_yonetmeligi"", ""distance"": 0.6341925263404846}, {""rank"": 5, ""chunk_id"": ""gumruk_yonetmeligi-ek-44-chunk-002"", ""source_key"": ""gumruk_yonetmeligi/annex/44"", ""document_id"": ""gumruk_yonetmeligi"", ""distance"": 0.6348143219947815}]","{""gumruk_yonetmeligi/normal/1"": 1}",True,True,True,1.0,1.0,True,,0,0.0,[],"{""prompt_tokens"": 22, ""total_tokens"": 22}",4147.56209999905,l2
gy-002,article,Gümrük Yönetmeliğinde dökme eşya ne demektir; ambalajlı olarak sayılabilen eşya bu tanıma girer mi?,"[""gumruk_yonetmeligi/normal/3""]","[{""rank"": 1, ""chunk_id"": ""gumruk_yonetmeligi-madde-82-chunk-001"", ""source_key"": ""gumruk_yonetmeligi/normal/82"", ""document_id"": ""gumruk_yonetmeligi"", ""distance"": 0.743983268737793}, {""rank"": 2, ""chunk_id"": ""gumruk_yonetmeligi-madde-185-chunk-001"", ""source_key"": ""gumruk_yonetmeligi/normal/185"", ""document_id"": ""gumruk_yonetmeligi"", ""distance"": 0.7526208758354187}, {""rank"": 3, ""chunk_id"": ""gumruk_yonetmeligi-madde-547-chunk-001"", ""source_key"": ""gumruk_yonetmeligi/normal/547"", ""document_id"": ""gumruk_yonetmeligi"", ""distance"": 0.7554534077644348}, {""rank"": 4, ""chunk_id"": ""gumruk_yonetmeligi-madde-583-chunk-001"", ""source_key"": ""gumruk_yonetmeligi/normal/583"", ""document_id"": ""gumruk_yonetmeligi"", ""distance"": 0.7634333968162537}, {""rank"": 5, ""chunk_id"": ""gumruk_yonetmeligi-madde-256-chunk-001"", ""source_key"": ""gumruk_yonetmeligi/normal/256"", ""document_id"": ""gumruk_yonetmeligi"", ""distance"": 0.769900381565094}]","{""gumruk_yonetmeligi/normal/3"": null}",False,False,False,0.0,0.0,False,,0,0.0,[],"{""prompt_tokens"": 42, ""total_tokens"": 42}",292.73279999324586,l2
gy-003,article,Onaylanmış kişi statü belgesinde borcun ödenmemesi ile sahte belgeyle başvuru aynı sonucu mu doğurur; askıya alma ve iptal nasıl ayrılır?,"[""gumruk_yonetmeligi/normal/26""]","[{""rank"": 1, ""chunk_id"": ""gumruk_yonetmeligi-madde-26-chunk-001"", ""source_key"": ""gumruk_yonetmeligi/normal/26"", ""document_id"": ""gumruk_yonetmeligi"", ""distance"": 0.720152735710144}, {""rank"": 2, ""chunk_id"": ""gumruk_yonetmeligi-madde-25-chunk-001"", ""source_key"": ""gumruk_yonetmeligi/normal/25"", ""document_id"": ""gumruk_yonetmeligi"", ""distance"": 0.8692107200622559}, {""rank"": 3, ""chunk_id"": ""5326-madde-27-chunk-001"", ""source_key"": ""5326_kabahatler_kanunu/normal/27"", ""document_id"": ""5326_kabahatler_kanunu"", ""distance"": 0.950560986995697}, {""rank"": 4, ""chunk_id"": ""gumruk_yonetmeligi-ek-42-chunk-002"", ""source_key"": ""gumruk_yonetmeligi/annex/42"", ""document_id"": ""gumruk_yonetmeligi"", ""distance"": 0.9664275050163269}, {""rank"": 5, ""chunk_id"": ""5326-madde-42-a-chunk-001"", ""source_key"": ""5326_kabahatler_kanunu/normal/42/a"", ""document_id"": ""5326_kabahatler_kanunu"", ""distance"": 0.9705286622047424}]","{""gumruk_yonetmeligi/normal/26"": 1}",True,True,True,1.0,1.0,True,,2,0.4,"[3, 5]","{""prompt_tokens"": 53, ""total_tokens"": 53}",1022.6412999982131,l2
gy-004,article,"Gümrük idaresinin lehe kararının değiştirilmesi, o karara dayanılarak zaten rejime alınmış eşyaya uygulanır mı?","[""gumruk_yonetmeligi/normal/27""]","[{""rank"": 1, ""chunk_id"": ""gumruk_yonetmeligi-madde-27-chunk-001"", ""source_key"": ""gumruk_yonetmeligi/normal/27"", ""document_id"": ""gumruk_yonetmeligi"", ""distance"": 0.7370315790176392}, {""rank"": 2, ""chunk_id"": ""gumruk_yonetmeligi-madde-399-chunk-001"", ""source_key"": ""gumruk_yonetmeligi/normal/399"", ""document_id"": ""gumruk_yonetmeligi"", ""distance"": 0.7514840960502625}, {""rank"": 3, ""chunk_id"": ""gumruk_yonetmeligi-madde-102-chunk-001"", ""source_key"": ""gumruk_yonetmeligi/normal/102"", ""document_id"": ""gumruk_yonetmeligi"", ""distance"": 0.7596241235733032}, {""rank"": 4, ""chunk_id"": ""gumruk_yonetmeligi-madde-373-chunk-001"", ""source_key"": ""gumruk_yonetmeligi/normal/373"", ""document_id"": ""gumruk_yonetmeligi"", ""distance"": 0.7648171186447144}, {""rank"": 5, ""chunk_id"": ""gumruk_yonetmeligi-madde-377-chunk-001"", ""source_key"": ""gumruk_yonetmeligi/normal/377"", ""document_id"": ""gumruk_yonetmeligi"", ""distance"": 0.7745767831802368}]","{""gumruk_yonetmeligi/normal/27"": 1}",True,True,True,1.0,1.0,True,,0,0.0,[],"{""prompt_tokens"": 46, ""total_tokens"": 46}",305.43629999738187,l2
gy-005,article,Gümrük görevlisinin yükümlüye ait sırları açıklama yasağı görevden ayrılınca sona erer mi?,"[""gumruk_yonetmeligi/normal/30""]","[{""rank"": 1, ""chunk_id"": ""gumruk_yonetmeligi-madde-578-chunk-001"", ""source_key"": ""gumruk_yonetmeligi/normal/578"", ""document_id"": ""gumruk_yonetmeligi"", ""distance"": 0.8026518225669861}, {""rank"": 2, ""chunk_id"": ""4458-madde-227-chunk-001"", ""source_key"": ""4458_gumruk_kanunu/normal/227"", ""document_id"": ""4458_gumruk_kanunu"", ""distance"": 0.8499187231063843}, {""rank"": 3, ""chunk_id"": ""4458-gecici-madde-6-chunk-002"", ""source_key"": ""4458_gumruk_kanunu/gecici/6"", ""document_id"": ""4458_gumruk_kanunu"", ""distance"": 0.870513916015625}, {""rank"": 4, ""chunk_id"": ""gumruk_yonetmeligi-madde-30-chunk-001"", ""source_key"": ""gumruk_yonetmeligi/normal/30"", ""document_id"": ""gumruk_yonetmeligi"", ""distance"": 0.8717241287231445}, {""rank"": 5, ""chunk_id"": ""4458-madde-230-chunk-001"", ""source_key"": ""4458_gumruk_kanunu/normal/230"", ""document_id"": ""4458_gumruk_kanunu"", ""distance"": 0.872786819934845}]","{""gumruk_yonetmeligi/normal/30"": 4}",False,False,True,0.25,1.0,True,,3,0.6,"[2, 3, 5]","{""prompt_tokens"": 40, ""total_tokens"": 40}",201.26900000468595,l2
gy-006,article,"Mücbir sebep yüzünden süre kaçırılmışsa, süresi geçtikten sonra ek süre talebi hangi belge koşuluyla değerlendirilebilir?","[""gumruk_yonetmeligi/normal/31""]","[{""rank"": 1, ""chunk_id"": ""gumruk_yonetmeligi-madde-121-chunk-001"", ""source_key"": ""gumruk_yonetmeligi/normal/121"", ""document_id"": ""gumruk_yonetmeligi"", ""distance"": 0.8093847632408142}, {""rank"": 2, ""chunk_id"": ""gumruk_yonetmeligi-madde-31-chunk-001"", ""source_key"": ""gumruk_yonetmeligi/normal/31"", ""document_id"": ""gumruk_yonetmeligi"", ""distance"": 0.8244039416313171}, {""rank"": 3, ""chunk_id"": ""gumruk_yonetmeligi-madde-76-chunk-001"", ""source_key"": ""gumruk_yonetmeligi/normal/76"", ""document_id"": ""gumruk_yonetmeligi"", ""distance"": 0.8467199802398682}, {""rank"": 4, ""chunk_id"": ""gumruk_yonetmeligi-madde-505-chunk-001"", ""source_key"": ""gumruk_yonetmeligi/normal/505"", ""document_id"": ""gumruk_yonetmeligi"", ""distance"": 0.847192645072937}, {""rank"": 5, ""chunk_id"": ""gumruk_yonetmeligi-madde-107-chunk-001"", ""source_key"": ""gumruk_yonetmeligi/normal/107"", ""document_id"": ""gumruk_yonetmeligi"", ""distance"": 0.8724780678749084}]","{""gumruk_yonetmeligi/normal/31"": 2}",False,True,True,0.5,1.0,True,,0,0.0,[],"{""prompt_tokens"": 50, ""total_tokens"": 50}",200.4123000006075,l2
gy-007,article,Ticari olmayan küçük gönderilerde menşe şahadetnamesi aranmayacak kıymet sınırı nedir; aynı göndericinin kolileri ayrı ayrı mı değerlendirilir?,"[""gumruk_yonetmeligi/normal/39""]","[{""rank"": 1, ""chunk_id"": ""gumruk_yonetmeligi-madde-39-chunk-001"", ""source_key"": ""gumruk_yonetmeligi/normal/39"", ""document_id"": ""gumruk_yonetmeligi"", ""distance"": 0.7267938852310181}, {""rank"": 2, ""chunk_id"": ""gumruk_yonetmeligi-madde-40-chunk-001"", ""source_key"": ""gumruk_yonetmeligi/normal/40"", ""document_id"": ""gumruk_yonetmeligi"", ""distance"": 0.8231428861618042}, {""rank"": 3, ""chunk_id"": ""gumruk_yonetmeligi-madde-41-chunk-001"", ""source_key"": ""gumruk_yonetmeligi/normal/41"", ""document_id"": ""gumruk_yonetmeligi"", ""distance"": 0.8758305311203003}, {""rank"": 4, ""chunk_id"": ""gumruk_yonetmeligi-madde-42-chunk-001"", ""source_key"": ""gumruk_yonetmeligi/normal/42"", ""document_id"": ""gumruk_yonetmeligi"", ""distance"": 0.8932952284812927}, {""rank"": 5, ""chunk_id"": ""4458-madde-21-chunk-001"", ""source_key"": ""4458_gumruk_kanunu/normal/21"", ""document_id"": ""4458_gumruk_kanunu"", ""distance"": 0.9138197898864746}]","{""gumruk_yonetmeligi/normal/39"": 1}",True,True,True,1.0,1.0,True,,1,0.2,[5],"{""prompt_tokens"": 62, ""total_tokens"": 62}",203.97009999578586,l2
gy-008,article,Menşe şahadetnamesi gerekli bilgileri taşısa bile şüphe halinde gümrük idaresi ek kanıt isteyebilir mi?,"[""gumruk_yonetmeligi/normal/40""]","[{""rank"": 1, ""chunk_id"": ""4458-madde-21-chunk-001"", ""source_key"": ""4458_gumruk_kanunu/normal/21"", ""document_id"": ""4458_gumruk_kanunu"", ""distance"": 0.5105080008506775}, {""rank"": 2, ""chunk_id"": ""gumruk_yonetmeligi-madde-40-chunk-001"", ""source_key"": ""gumruk_yonetmeligi/normal/40"", ""document_id"": ""gumruk_yonetmeligi"", ""distance"": 0.5359848737716675}, {""rank"": 3, ""chunk_id"": ""gumruk_yonetmeligi-madde-41-chunk-001"", ""source_key"": ""gumruk_yonetmeligi/normal/41"", ""document_id"": ""gumruk_yonetmeligi"", ""distance"": 0.5948013067245483}, {""rank"": 4, ""chunk_id"": ""gumruk_yonetmeligi-madde-42-chunk-001"", ""source_key"": ""gumruk_yonetmeligi/normal/42"", ""document_id"": ""gumruk_yonetmeligi"", ""distance"": 0.6596807241439819}, {""rank"": 5, ""chunk_id"": ""gumruk_yonetmeligi-madde-153-chunk-001"", ""source_key"": ""gumruk_yonetmeligi/normal/153"", ""document_id"": ""gumruk_yonetmeligi"", ""distance"": 0.6809729337692261}]","{""gumruk_yonetmeligi/normal/40"": 2}",False,True,True,0.5,1.0,True,,1,0.2,[1],"{""prompt_tokens"": 42, ""total_tokens"": 42}",198.48349999665515,l2
gy-009,article,Menşe şahadetnamesinin doğruluğu hakkında incelemeden sonra da tereddüt kalırsa sonradan kontrol için hangi yol izlenir?,"[""gumruk_yonetmeligi/normal/41""]","[{""rank"": 1, ""chunk_id"": ""gumruk_yonetmeligi-madde-41-chunk-001"", ""source_key"": ""gumruk_yonetmeligi/normal/41"", ""document_id"": ""gumruk_yonetmeligi"", ""distance"": 0.7579785585403442}, {""rank"": 2, ""chunk_id"": ""gumruk_yonetmeligi-madde-40-chunk-001"", ""source_key"": ""gumruk_yonetmeligi/normal/40"", ""document_id"": ""gumruk_yonetmeligi"", ""distance"": 0.8174450993537903}, {""rank"": 3, ""chunk_id"": ""gumruk_yonetmeligi-madde-38-chunk-001"", ""source_key"": ""gumruk_yonetmeligi/normal/38"", ""document_id"": ""gumruk_yonetmeligi"", ""distance"": 0.8911803960800171}, {""rank"": 4, ""chunk_id"": ""4458-madde-21-chunk-001"", ""source_key"": ""4458_gumruk_kanunu/normal/21"", ""document_id"": ""4458_gumruk_kanunu"", ""distance"": 0.9168766140937805}, {""rank"": 5, ""chunk_id"": ""gumruk_yonetmeligi-madde-42-chunk-001"", ""source_key"": ""gumruk_yonetmeligi/normal/42"", ""document_id"": ""gumruk_yonetmeligi"", ""distance"": 0.9243141412734985}]","{""gumruk_yonetmeligi/normal/41"": 1}",True,True,True,1.0,1.0,True,,1,0.2,[4],"{""prompt_tokens"": 41, ""total_tokens"": 41}",172.87779999605846,l2
gy-010,article,Gümrük kıymeti bakımından aynı eşya ile benzer eşya nasıl ayrılır; görünüşteki küçük farklılıklar aynı eşya sayılmayı engeller mi?,"[""gumruk_yonetmeligi/normal/43""]","[{""rank"": 1, ""chunk_id"": ""gumruk_yonetmeligi-madde-278-chunk-001"", ""source_key"": ""gumruk_yonetmeligi/normal/278"", ""document_id"": ""gumruk_yonetmeligi"", ""distance"": 0.7058701515197754}, {""rank"": 2, ""chunk_id"": ""gumruk_yonetmeligi-madde-47-chunk-001"", ""source_key"": ""gumruk_yonetmeligi/normal/47"", ""document_id"": ""gumruk_yonetmeligi"", ""distance"": 0.7121155858039856}, {""rank"": 3, ""chunk_id"": ""gumruk_yonetmeligi-madde-43-chunk-001"", ""source_key"": ""gumruk_yonetmeligi/normal/43"", ""document_id"": ""gumruk_yonetmeligi"", ""distance"": 0.7254899144172668}, {""rank"": 4, ""chunk_id"": ""gumruk_yonetmeligi-ek-8-chunk-003"", ""source_key"": ""gumruk_yonetmeligi/annex/8"", ""document_id"": ""gumruk_yonetmeligi"", ""distance"": 0.7313388586044312}, {""rank"": 5, ""chunk_id"": ""4458-madde-236-chunk-001"", ""source_key"": ""4458_gumruk_kanunu/normal/236"", ""document_id"": ""4458_gumruk_kanunu"", ""distance"": 0.7616985440254211}]","{""gumruk_yonetmeligi/normal/43"": 3}",False,True,True,0.3333333333333333,1.0,True,,1,0.2,[5],"{""prompt_tokens"": 60, ""total_tokens"": 60}",151.6730999937863,l2
