id,question,expected_articles,case_type,difficulty,source_verified,expert_validated,question_clear,question_natural,expected_articles_correct,answerable_from_current_corpus,ambiguous,review_status,reviewer_notes
q016,Kabahatler Kanunu'nun genel kuralları başka kanunlardaki idari para cezalarına hangi durumda uygulanır?,3,paraphrase,medium,True,False,,,,,,pending,
q017,"Bir kabahat, davranışın yapıldığı anda mı yoksa sonucu ortaya çıktığında mı işlenmiş sayılır?",5,paraphrase,easy,True,False,,,,,,pending,
q018,Bir şeyi yapmamak hangi şartla kabahat sayılabilir?,7,paraphrase,medium,True,False,,,,,,pending,
q019,Şirket çalışanının işi sırasında işlediği kabahat yüzünden şirket sahibine de yaptırım uygulanabilir mi?,8,paraphrase,medium,True,False,,,,,,pending,
q020,Kişinin yanılmasıyla ilgili ceza hukuku kuralları her kabahatte uygulanır mı?,10,paraphrase,medium,True,False,,,,,,pending,
q021,Bir eşyaya kabahat nedeniyle devletçe el konulup mülkiyetinin alınabilmesi için mutlaka faile ayrıca ceza verilmiş olması gerekir mi?,18,paraphrase,medium,True,False,,,,,,pending,
q022,Kanun cezayı verecek görevliyi açıkça söylemiyorsa idari yaptırım kararını kim verir?,22,paraphrase,easy,True,False,,,,,,pending,
q023,İdari yaptırım kararı kişiye bildirilirken itiraz edebileceği yer ve süre de yazılmak zorunda mı?,26,paraphrase,easy,True,False,,,,,,pending,
q024,Kabahate teşebbüs hangi istisnai durumda cezalandırılabilir ve bu durumda hangi hükümler uygulanır?,13,exception_condition,medium,True,False,,,,,,pending,
q025,Tek bir davranış hem suç hem kabahat olarak düzenlenmişse hangi yaptırım uygulanır; suçtan ceza verilemezse ne olur?,15,exception_condition,medium,True,False,,,,,,pending,
q026,İdari para cezası ödeme süresinde ödenirse indirim uygulanır mı ve ödeme itiraz hakkını ortadan kaldırır mı?,17,exception_condition,medium,True,False,,,,,,pending,
q027,Nispi idari para cezasını gerektiren bir kabahatte soruşturma zamanaşımı kaç yıldır?,20,exception_condition,medium,True,False,,,,,,pending,
q028,Mücbir sebeple on beş günlük başvuru süresi kaçırılırsa ne kadar sürede başvurulabilir ve başvuru kesinleşmeyi durdurur mu?,27,exception_condition,hard,True,False,,,,,,pending,
q029,Kanun yolu başvurusundan vazgeçen kişi aynı konuda yeniden başvurabilir mi?,30,exception_condition,easy,True,False,,,,,,pending,
q030,"Kamu binasında sigara içme yasağı, sigara içmek için ayrılmış bölümde de uygulanır mı?",39,exception_condition,easy,True,False,,,,,,pending,
q031,Çevreyi kirleten kişi kirliliği hemen temizlerse yine de idari para cezası verilmesi zorunlu mudur?,41,exception_condition,medium,True,False,,,,,,pending,
q032,İdari yaptırım kararını vermeye kim yetkilidir ve karar tutanağında kişi ile fiil hakkında hangi temel bilgiler bulunmalıdır?,22 | 25,multi_part,hard,True,False,,,,,,pending,
q033,Bir fiilin soruşturma sırasında veya kovuşturma sırasında kabahat olduğu anlaşılırsa idari yaptırım kararını sırasıyla kim verir?,23 | 24,multi_part,hard,True,False,,,,,,pending,
q034,İdari yaptırım kararı nasıl tebliğ edilir ve bu karara karşı olağan başvurunun mercii ile süresi nedir?,26 | 27,multi_part,medium,True,False,,,,,,pending,
q035,İdari para cezasını süresinde ödeyen kişi indirimden yararlanıp yine de kanun yoluna başvurabilir mi ve bu başvuru harca tabi midir?,17 | 31,multi_part,hard,True,False,,,,,,pending,
q036,Eşyanın mülkiyetinin kamuya geçirilmesi kararı ne zaman yerine getirilir ve bu karar için yerine getirme zamanaşımı ne kadardır?,18 | 21,multi_part,hard,True,False,,,,,,pending,
q037,Dilencilik ve kumar kabahatlerinde gelire ne olur ve mülkiyetin kamuya geçirilmesine hangi makamlar karar verir?,33 | 34,multi_part,hard,True,False,,,,,,pending,
q038,112'yi kasıtlı biçimde meşgul eden veya asılsız ihbarda bulunan kişi bir yıl içinde aynı fiili tekrarlarsa ceza nasıl uygulanır?,42/A,long_tail,medium,True,False,,,,,,pending,
q039,Bir şirket yararına rüşvet veya dolandırıcılık işlenirse şirkete ayrıca idari para cezasını hangi mahkeme verebilir?,43/A,long_tail,hard,True,False,,,,,,pending,
q040,Bir banka kendisine verilen paranın sahte olduğunu fark ettiği halde bildirim yapmazsa tüzel kişiye kim idari para cezası verebilir?,43/B,long_tail,hard,True,False,,,,,,pending,
q041,On sekiz yaşından küçüklerin kapsam dışı bıçakları satın alması veya taşıması yasak mıdır; meslek ya da eğitim için kullanım bu kurala tabi midir?,43/C,long_tail,hard,True,False,,,,,,pending,
q042,Türkiye'de gerçekleşmeyen bir davranışa Kabahatler Kanunu'nun uygulanıp uygulanmayacağı hangi yer kuralına göre belirlenir?,6,ambiguity_resistant,hard,True,False,,,,,,pending,
q043,İşyeri kapatma veya ruhsat geri alma gibi süreli yaptırımlar Kabahatler Kanunu yürürlüğe girince kendiliğinden ortadan kalkmış sayılır mı?,19,ambiguity_resistant,hard,True,False,,,,,,pending,
q044,"Mahkeme, alt ve üst sınırı kanunda yazılı bir idari para cezasına yapılan başvuruda ceza miktarını değiştirerek karar verebilir mi?",28,ambiguity_resistant,hard,True,False,,,,,,pending,
q045,"Sulh ceza mahkemesinin idari yaptırım başvurusunda verdiği son karara karşı hangi yola, ne kadar sürede gidilebilir?",29,ambiguity_resistant,hard,True,False,,,,,,pending,
