"id","question","expected_articles","retrieved_articles","first_expected_rank","status","cited_articles","expected_article_cited","requires_priority_review","answer","legal_correctness","completeness","groundedness","citation_relevance","sufficiency_decision","unsafe_overclaim","reviewer_notes","all_expected_articles_retrieved","all_expected_articles_cited"
"q001","Kabahat nedir?","2","7 | 1 | 14 | 2 | 9","4","YETERLI","2","True","False","Kabahat, kanunun karşılığında idarî yaptırım uygulanmasını öngördüğü haksızlıktır. [KAYNAK 4]","","","","","","","","True","True"
"q002","Kabahat karşılığı uygulanacak yaptırımın türü, süresi ve miktarı hangi esasla belirlenir?","4","16 | 27 | 28 | 15 | 25","","YETERSIZ","16","False","True","Kaynaklar, kabahatler için idarî para cezası ve idarî tedbir uygulanabileceğini; idarî tedbirlerin mülkiyetin kamuya geçirilmesi ile ilgili kanunlardaki diğer tedbirlerden oluştuğunu belirtmektedir. [KAYNAK 1] Ancak yaptırımın türü, süresi ve miktarının hangi esaslara göre belirleneceğine ilişkin bir düzenleme sağlanan kaynaklarda yer almamaktadır.","","","","","","","","False","False"
"q003","Bir kabahatin kasten veya taksirle işlenmesi nasıl düzenlenmiştir?","9","9 | 41 | 39 | 43/A | 15","1","YETERLI","9","True","False","Kabahatler, kanunda açıkça aksi yönde bir hüküm bulunmadıkça hem kasten hem de taksirle işlenebilir. [KAYNAK 1]","","","","","","","","True","True"
"q004","Onbeş yaşını doldurmamış çocuk hakkında idarî para cezası uygulanabilir mi?","11","11 | 21 | 20 | 43/A | 3","1","YETERLI","11","True","False","Hayır. Fiili işlediği sırada onbeş yaşını doldurmamış çocuk hakkında idarî para cezası uygulanamaz. [KAYNAK 1]","","","","","","","","True","True"
"q005","Hukuka uygunluk nedenleri ve kusurluluğu ortadan kaldıran nedenlerde hangi hükümler uygulanır?","12","12 | 19 | 28 | 27 | 5","1","YETERLI","12","True","False","Kabahatler bakımından, Kanunda aksine bir hüküm bulunmayan hâllerde Türk Ceza Kanununun hukuka uygunluk nedenleri ile kusurluluğu ortadan kaldıran nedenlere ilişkin hükümleri uygulanır. [KAYNAK 1]","","","","","","","","True","True"
"q006","Kabahate teşebbüs cezalandırılır mı?","13","13 | 14 | 37 | 43/A | 36","1","YETERLI","13","True","False","Kural olarak kabahate teşebbüs cezalandırılmaz. Ancak ilgili kanunda teşebbüsün de cezalandırılacağına ilişkin hüküm varsa teşebbüs cezalandırılabilir; bu durumda Türk Ceza Kanununun suça teşebbüs ve gönüllü vazgeçmeye ilişkin hükümleri kabahatler bakımından da uygulanır. [KAYNAK 1]","","","","","","","","True","True"
"q007","Bir kabahatin işlenmesine birden fazla kişi katılırsa sorumluluk nasıl belirlenir?","14","14 | 8 | 41 | 43/A | 7","1","YETERLI","14","True","False","Bir kabahatin işlenişine birden fazla kişinin katılması hâlinde, katılanların her biri hakkında fail olarak idarî para cezası verilir. [KAYNAK 1]

Özel faillik niteliği aranan hâllerde, bu niteliği taşımayan iştirakçi hakkında da fail olarak idarî para cezası uygulanır. İştirak için kasten ve hukuka aykırı işlenmiş bir fiilin bulunması yeterlidir; iştirak eden kişinin cezası, diğer kişilerin sorumlu olup olmadığına bakılmaksızın verilir. [KAYNAK 1]

Ancak özel faillik niteliğini taşıyan kişi yönünden suç, diğer kişiler yönünden kabahat sayılan bir fiil bu kişilerce birlikte işlenirse, suça iştirake ilişkin hükümler uygulanır. [KAYNAK 1]","","","","","","","","True","True"
"q008","Aynı fiille birden fazla kabahat işlenirse idarî yaptırım nasıl belirlenir?","15","15 | 27 | 28 | 25 | 16","1","YETERLI","15","True","False","Bir fiille birden fazla kabahat işlenmiş ve ilgili kabahatler için yalnız idarî para cezası öngörülmüşse, en ağır idarî para cezası verilir. Para cezasına ek olarak başka idarî yaptırımlar da öngörülmüşse, bu yaptırımların her birinin uygulanmasına karar verilir. [KAYNAK 1]","","","","","","","","True","True"
"q009","Kabahatler karşılığında uygulanabilecek idarî yaptırım türleri nelerdir?","16","16 | 27 | 25 | 28 | 17","1","YETERLI","16","True","False","Kabahatler karşılığında uygulanabilecek idarî yaptırımlar, idarî para cezası ve idarî tedbirlerdir. İdarî tedbirler; mülkiyetin kamuya geçirilmesi ile ilgili kanunlarda yer alan diğer tedbirleri kapsar. [KAYNAK 1]","","","","","","","","True","True"
"q010","İdarî para cezasının türleri ve ceza miktarının belirlenmesinde dikkate alınacak ölçütler nelerdir?","17","17 | 28 | 27 | 43/A | 20","1","YETERLI","17","True","False","İdarî para cezası maktu veya nispi olabilir. Ayrıca kanunda alt ve üst sınır gösterilerek de belirlenebilir. [KAYNAK 1]

Kanunda alt ve üst sınır öngörülmüşse ceza miktarı belirlenirken kabahatin haksızlık içeriği, failin kusuru ve ekonomik durumu birlikte dikkate alınır. [KAYNAK 1]","","","","","","","","True","True"
"q011","Kabahatlerde soruşturma zamanaşımı süresi nasıl belirlenir?","20","20 | 21 | 5 | 27 | 23","1","YETERLI","20","True","False","Soruşturma zamanaşımı, kabahat için öngörülen idarî para cezasının tutarına göre belirlenir: 100.000 TL veya daha fazla ceza gerektiren kabahatlerde 5 yıl, 50.000 TL veya daha fazla ceza gerektirenlerde 4 yıl, 50.000 TL’den az ceza gerektirenlerde 3 yıldır. Nispî idarî para cezasını gerektiren kabahatlerde süre 8 yıldır. [KAYNAK 1]

Süre, kabahat tanımındaki fiilin işlenmesiyle veya neticenin gerçekleşmesiyle işlemeye başlar. Fiil aynı zamanda suç oluşturuyorsa, suça ilişkin dava zamanaşımı hükümleri uygulanır. Soruşturma zamanaşımı dolduğunda idarî para cezasına karar verilemez. [KAYNAK 1]

Belirtilen bazı özel kanunlardaki idarî para cezası gerektiren fiiller bakımından ise, fiilin işlendiği tarihi izleyen takvim yılının sonuna kadar idarî para cezası verilerek tebliğ edilmezse idarî yaptırım kararı verilemez; verilmiş kararlar düşer. [KAYNAK 1]","","","","","","","","True","True"
"q012","Kesinleşen idarî yaptırım kararlarının yerine getirilmesinde zamanaşımı nasıl düzenlenmiştir?","21","21 | 26 | 27 | 25 | 28","1","YETERLI","21","True","False","Kesinleşen idarî para cezası veya mülkiyetin kamuya geçirilmesi kararları, yerine getirme zamanaşımı dolduğunda artık yerine getirilemez. [KAYNAK 1]

İdarî para cezalarında süre; 50.000 TL ve üzeri için 7 yıl, 20.000 TL ve üzeri için 5 yıl, 10.000 TL ve üzeri için 4 yıl, 10.000 TL’den az cezalar için 3 yıldır. Mülkiyetin kamuya geçirilmesinde süre 10 yıldır. [KAYNAK 1]

Süre, kararın kesinleştiği yılı izleyen takvim yılının başında işlemeye başlar. Kanun gereği yaptırımın yerine getirilmesine başlanamaması veya yerine getirilememesi hâlinde zamanaşımı işlemez. [KAYNAK 1]","","","","","","","","True","True"
