strategy,id,question,dataset,expected_sources,expected_legislations,case_type,difficulty,ranks,top1_legislation,expected_source_ranks,any_source_hit_at_1,all_sources_match_at_1,expected_legislation_hit_at_1,any_source_hit_at_3,all_sources_match_at_3,expected_legislation_hit_at_3,any_source_hit_at_5,all_sources_match_at_5,expected_legislation_hit_at_5,non_expected_legislation_count_at_5,non_expected_legislation_share_at_5,latency_ms,dense_latency_ms,lexical_latency_ms,fusion_latency_ms,deduplication_latency_ms,embedding_tokens
B0,q001,Kabahat nedir?,5326,"[""5326/normal/2""]","[""5326""]",,,"[{""rank"": 1, ""chunk_id"": ""5326-madde-7-chunk-001"", ""legislation_number"": ""5326"", ""article_type"": ""normal"", ""article_no"": ""7"", ""qualified_source_key"": ""5326/normal/7"", ""distance"": 1.0306315422058105}, {""rank"": 2, ""chunk_id"": ""5326-madde-1-chunk-001"", ""legislation_number"": ""5326"", ""article_type"": ""normal"", ""article_no"": ""1"", ""qualified_source_key"": ""5326/normal/1"", ""distance"": 1.0608350038528442}, {""rank"": 3, ""chunk_id"": ""5326-madde-14-chunk-001"", ""legislation_number"": ""5326"", ""article_type"": ""normal"", ""article_no"": ""14"", ""qualified_source_key"": ""5326/normal/14"", ""distance"": 1.091611385345459}, {""rank"": 4, ""chunk_id"": ""5326-madde-2-chunk-001"", ""legislation_number"": ""5326"", ""article_type"": ""normal"", ""article_no"": ""2"", ""qualified_source_key"": ""5326/normal/2"", ""distance"": 1.1014589071273804}, {""rank"": 5, ""chunk_id"": ""5326-madde-9-chunk-001"", ""legislation_number"": ""5326"", ""article_type"": ""normal"", ""article_no"": ""9"", ""qualified_source_key"": ""5326/normal/9"", ""distance"": 1.104102373123169}]",5326,"{""5326/normal/2"": 4}",False,False,True,False,False,True,True,True,True,0,0.0,4100.595899973996,4100.595899973996,0.0,0.0,0.0,7
B0,q002,"Kabahat karşılığı uygulanacak yaptırımın türü, süresi ve miktarı hangi esasla belirlenir?",5326,"[""5326/normal/4""]","[""5326""]",,,"[{""rank"": 1, ""chunk_id"": ""5326-madde-16-chunk-001"", ""legislation_number"": ""5326"", ""article_type"": ""normal"", ""article_no"": ""16"", ""qualified_source_key"": ""5326/normal/16"", ""distance"": 0.8263930678367615}, {""rank"": 2, ""chunk_id"": ""5326-madde-27-chunk-001"", ""legislation_number"": ""5326"", ""article_type"": ""normal"", ""article_no"": ""27"", ""qualified_source_key"": ""5326/normal/27"", ""distance"": 0.8296042084693909}, {""rank"": 3, ""chunk_id"": ""5326-madde-28-chunk-001"", ""legislation_number"": ""5326"", ""article_type"": ""normal"", ""article_no"": ""28"", ""qualified_source_key"": ""5326/normal/28"", ""distance"": 0.8440083265304565}, {""rank"": 4, ""chunk_id"": ""5326-madde-15-chunk-001"", ""legislation_number"": ""5326"", ""article_type"": ""normal"", ""article_no"": ""15"", ""qualified_source_key"": ""5326/normal/15"", ""distance"": 0.8689979314804077}, {""rank"": 5, ""chunk_id"": ""5326-madde-25-chunk-001"", ""legislation_number"": ""5326"", ""article_type"": ""normal"", ""article_no"": ""25"", ""qualified_source_key"": ""5326/normal/25"", ""distance"": 0.8731067180633545}]",5326,"{""5326/normal/4"": null}",False,False,True,False,False,True,False,False,True,0,0.0,1919.6339000482112,1919.6339000482112,0.0,0.0,0.0,38
B0,q003,Bir kabahatin kasten veya taksirle işlenmesi nasıl düzenlenmiştir?,5326,"[""5326/normal/9""]","[""5326""]",,,"[{""rank"": 1, ""chunk_id"": ""5326-madde-9-chunk-001"", ""legislation_number"": ""5326"", ""article_type"": ""normal"", ""article_no"": ""9"", ""qualified_source_key"": ""5326/normal/9"", ""distance"": 0.7092288732528687}, {""rank"": 2, ""chunk_id"": ""5326-madde-41-chunk-001"", ""legislation_number"": ""5326"", ""article_type"": ""normal"", ""article_no"": ""41"", ""qualified_source_key"": ""5326/normal/41"", ""distance"": 0.8592187762260437}, {""rank"": 3, ""chunk_id"": ""5326-madde-39-chunk-001"", ""legislation_number"": ""5326"", ""article_type"": ""normal"", ""article_no"": ""39"", ""qualified_source_key"": ""5326/normal/39"", ""distance"": 0.9324946403503418}, {""rank"": 4, ""chunk_id"": ""5326-madde-43-a-chunk-001"", ""legislation_number"": ""5326"", ""article_type"": ""normal"", ""article_no"": ""43/A"", ""qualified_source_key"": ""5326/normal/43/a"", ""distance"": 0.9503608345985413}, {""rank"": 5, ""chunk_id"": ""5326-madde-15-chunk-001"", ""legislation_number"": ""5326"", ""article_type"": ""normal"", ""article_no"": ""15"", ""qualified_source_key"": ""5326/normal/15"", ""distance"": 0.9540412425994873}]",5326,"{""5326/normal/9"": 1}",True,True,True,True,True,True,True,True,True,0,0.0,254.41330001922324,254.41330001922324,0.0,0.0,0.0,25
B0,q004,Onbeş yaşını doldurmamış çocuk hakkında idarî para cezası uygulanabilir mi?,5326,"[""5326/normal/11""]","[""5326""]",,,"[{""rank"": 1, ""chunk_id"": ""5326-madde-11-chunk-001"", ""legislation_number"": ""5326"", ""article_type"": ""normal"", ""article_no"": ""11"", ""qualified_source_key"": ""5326/normal/11"", ""distance"": 0.6392918825149536}, {""rank"": 2, ""chunk_id"": ""5326-madde-21-chunk-001"", ""legislation_number"": ""5326"", ""article_type"": ""normal"", ""article_no"": ""21"", ""qualified_source_key"": ""5326/normal/21"", ""distance"": 0.9034841060638428}, {""rank"": 3, ""chunk_id"": ""5326-madde-20-chunk-001"", ""legislation_number"": ""5326"", ""article_type"": ""normal"", ""article_no"": ""20"", ""qualified_source_key"": ""5326/normal/20"", ""distance"": 0.9080278873443604}, {""rank"": 4, ""chunk_id"": ""5326-madde-43-a-chunk-001"", ""legislation_number"": ""5326"", ""article_type"": ""normal"", ""article_no"": ""43/A"", ""qualified_source_key"": ""5326/normal/43/a"", ""distance"": 0.9460873603820801}, {""rank"": 5, ""chunk_id"": ""5326-gecici-madde-3-chunk-001"", ""legislation_number"": ""5326"", ""article_type"": ""gecici"", ""article_no"": ""3"", ""qualified_source_key"": ""5326/gecici/3"", ""distance"": 0.9614971876144409}]",5326,"{""5326/normal/11"": 1}",True,True,True,True,True,True,True,True,True,0,0.0,255.99790003616363,255.99790003616363,0.0,0.0,0.0,29
B0,q005,Hukuka uygunluk nedenleri ve kusurluluğu ortadan kaldıran nedenlerde hangi hükümler uygulanır?,5326,"[""5326/normal/12""]","[""5326""]",,,"[{""rank"": 1, ""chunk_id"": ""5326-madde-12-chunk-001"", ""legislation_number"": ""5326"", ""article_type"": ""normal"", ""article_no"": ""12"", ""qualified_source_key"": ""5326/normal/12"", ""distance"": 0.6117033958435059}, {""rank"": 2, ""chunk_id"": ""5326-madde-19-chunk-001"", ""legislation_number"": ""5326"", ""article_type"": ""normal"", ""article_no"": ""19"", ""qualified_source_key"": ""5326/normal/19"", ""distance"": 0.9149014353752136}, {""rank"": 3, ""chunk_id"": ""5326-madde-28-chunk-001"", ""legislation_number"": ""5326"", ""article_type"": ""normal"", ""article_no"": ""28"", ""qualified_source_key"": ""5326/normal/28"", ""distance"": 0.9198160171508789}, {""rank"": 4, ""chunk_id"": ""5326-madde-27-chunk-001"", ""legislation_number"": ""5326"", ""article_type"": ""normal"", ""article_no"": ""27"", ""qualified_source_key"": ""5326/normal/27"", ""distance"": 0.9382719993591309}, {""rank"": 5, ""chunk_id"": ""5326-madde-5-chunk-001"", ""legislation_number"": ""5326"", ""article_type"": ""normal"", ""article_no"": ""5"", ""qualified_source_key"": ""5326/normal/5"", ""distance"": 0.9697345495223999}]",5326,"{""5326/normal/12"": 1}",True,True,True,True,True,True,True,True,True,0,0.0,266.3442000048235,266.3442000048235,0.0,0.0,0.0,39
B0,q006,Kabahate teşebbüs cezalandırılır mı?,5326,"[""5326/normal/13""]","[""5326""]",,,"[{""rank"": 1, ""chunk_id"": ""5326-madde-13-chunk-001"", ""legislation_number"": ""5326"", ""article_type"": ""normal"", ""article_no"": ""13"", ""qualified_source_key"": ""5326/normal/13"", ""distance"": 0.6407328248023987}, {""rank"": 2, ""chunk_id"": ""5326-madde-14-chunk-001"", ""legislation_number"": ""5326"", ""article_type"": ""normal"", ""article_no"": ""14"", ""qualified_source_key"": ""5326/normal/14"", ""distance"": 0.8560421466827393}, {""rank"": 3, ""chunk_id"": ""5326-madde-37-chunk-001"", ""legislation_number"": ""5326"", ""article_type"": ""normal"", ""article_no"": ""37"", ""qualified_source_key"": ""5326/normal/37"", ""distance"": 0.8603207468986511}, {""rank"": 4, ""chunk_id"": ""5326-madde-43-a-chunk-001"", ""legislation_number"": ""5326"", ""article_type"": ""normal"", ""article_no"": ""43/A"", ""qualified_source_key"": ""5326/normal/43/a"", ""distance"": 0.872982382774353}, {""rank"": 5, ""chunk_id"": ""5326-madde-36-chunk-001"", ""legislation_number"": ""5326"", ""article_type"": ""normal"", ""article_no"": ""36"", ""qualified_source_key"": ""5326/normal/36"", ""distance"": 0.8801714777946472}]",5326,"{""5326/normal/13"": 1}",True,True,True,True,True,True,True,True,True,0,0.0,286.88919998239726,286.88919998239726,0.0,0.0,0.0,18
B0,q007,Bir kabahatin işlenmesine birden fazla kişi katılırsa sorumluluk nasıl belirlenir?,5326,"[""5326/normal/14""]","[""5326""]",,,"[{""rank"": 1, ""chunk_id"": ""5326-madde-14-chunk-001"", ""legislation_number"": ""5326"", ""article_type"": ""normal"", ""article_no"": ""14"", ""qualified_source_key"": ""5326/normal/14"", ""distance"": 0.8163039684295654}, {""rank"": 2, ""chunk_id"": ""5326-madde-8-chunk-001"", ""legislation_number"": ""5326"", ""article_type"": ""normal"", ""article_no"": ""8"", ""qualified_source_key"": ""5326/normal/8"", ""distance"": 0.8704569339752197}, {""rank"": 3, ""chunk_id"": ""5326-madde-41-chunk-001"", ""legislation_number"": ""5326"", ""article_type"": ""normal"", ""article_no"": ""41"", ""qualified_source_key"": ""5326/normal/41"", ""distance"": 0.9025884866714478}, {""rank"": 4, ""chunk_id"": ""5326-madde-43-a-chunk-001"", ""legislation_number"": ""5326"", ""article_type"": ""normal"", ""article_no"": ""43/A"", ""qualified_source_key"": ""5326/normal/43/a"", ""distance"": 0.9215245246887207}, {""rank"": 5, ""chunk_id"": ""5326-madde-7-chunk-001"", ""legislation_number"": ""5326"", ""article_type"": ""normal"", ""article_no"": ""7"", ""qualified_source_key"": ""5326/normal/7"", ""distance"": 0.93197101354599}]",5326,"{""5326/normal/14"": 1}",True,True,True,True,True,True,True,True,True,0,0.0,275.23490000749007,275.23490000749007,0.0,0.0,0.0,29
B0,q008,Aynı fiille birden fazla kabahat işlenirse idarî yaptırım nasıl belirlenir?,5326,"[""5326/normal/15""]","[""5326""]",,,"[{""rank"": 1, ""chunk_id"": ""5326-madde-15-chunk-001"", ""legislation_number"": ""5326"", ""article_type"": ""normal"", ""article_no"": ""15"", ""qualified_source_key"": ""5326/normal/15"", ""distance"": 0.5972222089767456}, {""rank"": 2, ""chunk_id"": ""5326-madde-27-chunk-001"", ""legislation_number"": ""5326"", ""article_type"": ""normal"", ""article_no"": ""27"", ""qualified_source_key"": ""5326/normal/27"", ""distance"": 0.670947790145874}, {""rank"": 3, ""chunk_id"": ""5326-madde-28-chunk-001"", ""legislation_number"": ""5326"", ""article_type"": ""normal"", ""article_no"": ""28"", ""qualified_source_key"": ""5326/normal/28"", ""distance"": 0.7465072274208069}, {""rank"": 4, ""chunk_id"": ""5326-madde-25-chunk-001"", ""legislation_number"": ""5326"", ""article_type"": ""normal"", ""article_no"": ""25"", ""qualified_source_key"": ""5326/normal/25"", ""distance"": 0.7481196522712708}, {""rank"": 5, ""chunk_id"": ""5326-madde-16-chunk-001"", ""legislation_number"": ""5326"", ""article_type"": ""normal"", ""article_no"": ""16"", ""qualified_source_key"": ""5326/normal/16"", ""distance"": 0.7638252973556519}]",5326,"{""5326/normal/15"": 1}",True,True,True,True,True,True,True,True,True,0,0.0,276.1395999696106,276.1395999696106,0.0,0.0,0.0,29
B0,q009,Kabahatler karşılığında uygulanabilecek idarî yaptırım türleri nelerdir?,5326,"[""5326/normal/16""]","[""5326""]",,,"[{""rank"": 1, ""chunk_id"": ""5326-madde-16-chunk-001"", ""legislation_number"": ""5326"", ""article_type"": ""normal"", ""article_no"": ""16"", ""qualified_source_key"": ""5326/normal/16"", ""distance"": 0.5977177023887634}, {""rank"": 2, ""chunk_id"": ""5326-madde-27-chunk-001"", ""legislation_number"": ""5326"", ""article_type"": ""normal"", ""article_no"": ""27"", ""qualified_source_key"": ""5326/normal/27"", ""distance"": 0.6600779294967651}, {""rank"": 3, ""chunk_id"": ""5326-madde-25-chunk-001"", ""legislation_number"": ""5326"", ""article_type"": ""normal"", ""article_no"": ""25"", ""qualified_source_key"": ""5326/normal/25"", ""distance"": 0.7125323414802551}, {""rank"": 4, ""chunk_id"": ""5326-madde-28-chunk-001"", ""legislation_number"": ""5326"", ""article_type"": ""normal"", ""article_no"": ""28"", ""qualified_source_key"": ""5326/normal/28"", ""distance"": 0.7173446416854858}, {""rank"": 5, ""chunk_id"": ""5326-madde-17-chunk-001"", ""legislation_number"": ""5326"", ""article_type"": ""normal"", ""article_no"": ""17"", ""qualified_source_key"": ""5326/normal/17"", ""distance"": 0.758899450302124}]",5326,"{""5326/normal/16"": 1}",True,True,True,True,True,True,True,True,True,0,0.0,264.648100011982,264.648100011982,0.0,0.0,0.0,29
B0,q010,İdarî para cezasının türleri ve ceza miktarının belirlenmesinde dikkate alınacak ölçütler nelerdir?,5326,"[""5326/normal/17""]","[""5326""]",,,"[{""rank"": 1, ""chunk_id"": ""5326-madde-17-chunk-001"", ""legislation_number"": ""5326"", ""article_type"": ""normal"", ""article_no"": ""17"", ""qualified_source_key"": ""5326/normal/17"", ""distance"": 0.7668431997299194}, {""rank"": 2, ""chunk_id"": ""5326-madde-28-chunk-001"", ""legislation_number"": ""5326"", ""article_type"": ""normal"", ""article_no"": ""28"", ""qualified_source_key"": ""5326/normal/28"", ""distance"": 0.8589975833892822}, {""rank"": 3, ""chunk_id"": ""5326-madde-27-chunk-001"", ""legislation_number"": ""5326"", ""article_type"": ""normal"", ""article_no"": ""27"", ""qualified_source_key"": ""5326/normal/27"", ""distance"": 0.9376013875007629}, {""rank"": 4, ""chunk_id"": ""5326-madde-43-a-chunk-001"", ""legislation_number"": ""5326"", ""article_type"": ""normal"", ""article_no"": ""43/A"", ""qualified_source_key"": ""5326/normal/43/a"", ""distance"": 0.9741024374961853}, {""rank"": 5, ""chunk_id"": ""5326-madde-20-chunk-001"", ""legislation_number"": ""5326"", ""article_type"": ""normal"", ""article_no"": ""20"", ""qualified_source_key"": ""5326/normal/20"", ""distance"": 1.027761459350586}]",5326,"{""5326/normal/17"": 1}",True,True,True,True,True,True,True,True,True,0,0.0,263.99269996909425,263.99269996909425,0.0,0.0,0.0,36
