"id","question","expected_articles","expert_validated","retrieved_articles","retrieved_chunk_ids","first_expected_rank","expected_article_present","status","cited_articles","expected_article_cited","citation_count","citation_labels_structurally_valid","requires_priority_review","answer","retrieval_latency_ms","generation_latency_ms","pipeline_latency_ms","embedding_tokens","generation_input_tokens","generation_output_tokens","generation_total_tokens","error_type","error_message_safe","legal_correctness","completeness","groundedness","citation_relevance","sufficiency_decision","unsafe_overclaim","reviewer_notes","all_expected_articles_retrieved","all_expected_articles_cited"
"q001","Kabahat nedir?","2","False","7 | 1 | 14 | 2 | 9","5326-madde-7-chunk-001 | 5326-madde-1-chunk-001 | 5326-madde-14-chunk-001 | 5326-madde-2-chunk-001 | 5326-madde-9-chunk-001","4","True","YETERLI","2","True","1","True","False","Kabahat, kanunun karşılığında idarî yaptırım uygulanmasını öngördüğü haksızlıktır. [KAYNAK 4]","1414.4766999997955","2483.4843999997247","3908.578800000214","7","1552","49","1601","","","","","","","","","","True","True"
"q002","Kabahat karşılığı uygulanacak yaptırımın türü, süresi ve miktarı hangi esasla belirlenir?","4","False","16 | 27 | 28 | 15 | 25","5326-madde-16-chunk-001 | 5326-madde-27-chunk-001 | 5326-madde-28-chunk-001 | 5326-madde-15-chunk-001 | 5326-madde-25-chunk-001","","False","YETERSIZ","16","False","1","True","True","Kaynaklar, kabahatler için idarî para cezası ve idarî tedbir uygulanabileceğini; idarî tedbirlerin mülkiyetin kamuya geçirilmesi ile ilgili kanunlardaki diğer tedbirlerden oluştuğunu belirtmektedir. [KAYNAK 1] Ancak yaptırımın türü, süresi ve miktarının hangi esaslara göre belirleneceğine ilişkin bir düzenleme sağlanan kaynaklarda yer almamaktadır.","217.3915000003035","4332.683199999337","4560.660899999675","38","2899","113","3012","","","","","","","","","","False","False"
"q003","Bir kabahatin kasten veya taksirle işlenmesi nasıl düzenlenmiştir?","9","False","9 | 41 | 39 | 43/A | 15","5326-madde-9-chunk-001 | 5326-madde-41-chunk-001 | 5326-madde-39-chunk-001 | 5326-madde-43-a-chunk-001 | 5326-madde-15-chunk-001","1","True","YETERLI","9","True","1","True","False","Kabahatler, kanunda açıkça aksi yönde bir hüküm bulunmadıkça hem kasten hem de taksirle işlenebilir. [KAYNAK 1]","207.06179999979213","8915.768799999569","9133.377299999665","25","2870","54","2924","","","","","","","","","","True","True"
"q004","Onbeş yaşını doldurmamış çocuk hakkında idarî para cezası uygulanabilir mi?","11","False","11 | 21 | 20 | 43/A | 3","5326-madde-11-chunk-001 | 5326-madde-21-chunk-001 | 5326-madde-20-chunk-001 | 5326-madde-43-a-chunk-001 | 5326-gecici-madde-3-chunk-001","1","True","YETERLI","11","True","1","True","False","Hayır. Fiili işlediği sırada onbeş yaşını doldurmamış çocuk hakkında idarî para cezası uygulanamaz. [KAYNAK 1]","176.12060000010388","2898.779899999681","3086.383599999863","29","2680","53","2733","","","","","","","","","","True","True"
"q005","Hukuka uygunluk nedenleri ve kusurluluğu ortadan kaldıran nedenlerde hangi hükümler uygulanır?","12","False","12 | 19 | 28 | 27 | 5","5326-madde-12-chunk-001 | 5326-madde-19-chunk-001 | 5326-madde-28-chunk-001 | 5326-madde-27-chunk-001 | 5326-madde-5-chunk-001","1","True","YETERLI","12","True","1","True","False","Kabahatler bakımından, Kanunda aksine bir hüküm bulunmayan hâllerde Türk Ceza Kanununun hukuka uygunluk nedenleri ile kusurluluğu ortadan kaldıran nedenlere ilişkin hükümleri uygulanır. [KAYNAK 1]","176.709800000026","1880.4761000001236","2066.431199999897","39","2808","72","2880","","","","","","","","","","True","True"
"q006","Kabahate teşebbüs cezalandırılır mı?","13","False","13 | 14 | 37 | 43/A | 36","5326-madde-13-chunk-001 | 5326-madde-14-chunk-001 | 5326-madde-37-chunk-001 | 5326-madde-43-a-chunk-001 | 5326-madde-36-chunk-001","1","True","YETERLI","13","True","1","True","False","Kural olarak kabahate teşebbüs cezalandırılmaz. Ancak ilgili kanunda teşebbüsün de cezalandırılacağına ilişkin hüküm varsa teşebbüs cezalandırılabilir; bu durumda Türk Ceza Kanununun suça teşebbüs ve gönüllü vazgeçmeye ilişkin hükümleri kabahatler bakımından da uygulanır. [KAYNAK 1]","533.676000000014","2472.69150000011","3016.558000000259","18","2203","99","2302","","","","","","","","","","True","True"
"q007","Bir kabahatin işlenmesine birden fazla kişi katılırsa sorumluluk nasıl belirlenir?","14","False","14 | 8 | 41 | 43/A | 7","5326-madde-14-chunk-001 | 5326-madde-8-chunk-001 | 5326-madde-41-chunk-001 | 5326-madde-43-a-chunk-001 | 5326-madde-7-chunk-001","1","True","YETERLI","14","True","1","True","False","Bir kabahatin işlenişine birden fazla kişinin katılması hâlinde, katılanların her biri hakkında fail olarak idarî para cezası verilir. [KAYNAK 1]

Özel faillik niteliği aranan hâllerde, bu niteliği taşımayan iştirakçi hakkında da fail olarak idarî para cezası uygulanır. İştirak için kasten ve hukuka aykırı işlenmiş bir fiilin bulunması yeterlidir; iştirak eden kişinin cezası, diğer kişilerin sorumlu olup olmadığına bakılmaksızın verilir. [KAYNAK 1]

Ancak özel faillik niteliğini taşıyan kişi yönünden suç, diğer kişiler yönünden kabahat sayılan bir fiil bu kişilerce birlikte işlenirse, suça iştirake ilişkin hükümler uygulanır. [KAYNAK 1]","185.03400000008696","3951.813399999992","4146.948399999928","29","2845","201","3046","","","","","","","","","","True","True"
"q008","Aynı fiille birden fazla kabahat işlenirse idarî yaptırım nasıl belirlenir?","15","False","15 | 27 | 28 | 25 | 16","5326-madde-15-chunk-001 | 5326-madde-27-chunk-001 | 5326-madde-28-chunk-001 | 5326-madde-25-chunk-001 | 5326-madde-16-chunk-001","1","True","YETERLI","15","True","1","True","False","Bir fiille birden fazla kabahat işlenmiş ve ilgili kabahatler için yalnız idarî para cezası öngörülmüşse, en ağır idarî para cezası verilir. Para cezasına ek olarak başka idarî yaptırımlar da öngörülmüşse, bu yaptırımların her birinin uygulanmasına karar verilir. [KAYNAK 1]","194.99209999958111","2504.539599999589","2709.3631999996433","29","2897","100","2997","","","","","","","","","","True","True"
"q009","Kabahatler karşılığında uygulanabilecek idarî yaptırım türleri nelerdir?","16","False","16 | 27 | 25 | 28 | 17","5326-madde-16-chunk-001 | 5326-madde-27-chunk-001 | 5326-madde-25-chunk-001 | 5326-madde-28-chunk-001 | 5326-madde-17-chunk-001","1","True","YETERLI","16","True","1","True","False","Kabahatler karşılığında uygulanabilecek idarî yaptırımlar, idarî para cezası ve idarî tedbirlerdir. İdarî tedbirler; mülkiyetin kamuya geçirilmesi ile ilgili kanunlarda yer alan diğer tedbirleri kapsar. [KAYNAK 1]","251.5112000000954","2439.442699999745","2700.1510000000053","29","3621","82","3703","","","","","","","","","","True","True"
"q010","İdarî para cezasının türleri ve ceza miktarının belirlenmesinde dikkate alınacak ölçütler nelerdir?","17","False","17 | 28 | 27 | 43/A | 20","5326-madde-17-chunk-001 | 5326-madde-28-chunk-001 | 5326-madde-27-chunk-001 | 5326-madde-43-a-chunk-001 | 5326-madde-20-chunk-001","1","True","YETERLI","17","True","1","True","False","İdarî para cezası maktu veya nispi olabilir. Ayrıca kanunda alt ve üst sınır gösterilerek de belirlenebilir. [KAYNAK 1]

Kanunda alt ve üst sınır öngörülmüşse ceza miktarı belirlenirken kabahatin haksızlık içeriği, failin kusuru ve ekonomik durumu birlikte dikkate alınır. [KAYNAK 1]","201.8023999999059","3248.085400000491","3459.0330000000904","36","4564","107","4671","","","","","","","","","","True","True"
"q011","Kabahatlerde soruşturma zamanaşımı süresi nasıl belirlenir?","20","False","20 | 21 | 5 | 27 | 23","5326-madde-20-chunk-001 | 5326-madde-21-chunk-001 | 5326-madde-5-chunk-001 | 5326-madde-27-chunk-001 | 5326-madde-23-chunk-001","1","True","YETERLI","20","True","1","True","False","Soruşturma zamanaşımı, kabahat için öngörülen idarî para cezasının tutarına göre belirlenir: 100.000 TL veya daha fazla ceza gerektiren kabahatlerde 5 yıl, 50.000 TL veya daha fazla ceza gerektirenlerde 4 yıl, 50.000 TL’den az ceza gerektirenlerde 3 yıldır. Nispî idarî para cezasını gerektiren kabahatlerde süre 8 yıldır. [KAYNAK 1]

Süre, kabahat tanımındaki fiilin işlenmesiyle veya neticenin gerçekleşmesiyle işlemeye başlar. Fiil aynı zamanda suç oluşturuyorsa, suça ilişkin dava zamanaşımı hükümleri uygulanır. Soruşturma zamanaşımı dolduğunda idarî para cezasına karar verilemez. [KAYNAK 1]

Belirtilen bazı özel kanunlardaki idarî para cezası gerektiren fiiller bakımından ise, fiilin işlendiği tarihi izleyen takvim yılının sonuna kadar idarî para cezası verilerek tebliğ edilmezse idarî yaptırım kararı verilemez; verilmiş kararlar düşer. [KAYNAK 1]","201.00239999919722","4166.147099999762","4377.146899999389","25","2748","290","3038","","","","","","","","","","True","True"
"q012","Kesinleşen idarî yaptırım kararlarının yerine getirilmesinde zamanaşımı nasıl düzenlenmiştir?","21","False","21 | 26 | 27 | 25 | 28","5326-madde-21-chunk-001 | 5326-madde-26-chunk-001 | 5326-madde-27-chunk-001 | 5326-madde-25-chunk-001 | 5326-madde-28-chunk-001","1","True","YETERLI","21","True","1","True","False","Kesinleşen idarî para cezası veya mülkiyetin kamuya geçirilmesi kararları, yerine getirme zamanaşımı dolduğunda artık yerine getirilemez. [KAYNAK 1]

İdarî para cezalarında süre; 50.000 TL ve üzeri için 7 yıl, 20.000 TL ve üzeri için 5 yıl, 10.000 TL ve üzeri için 4 yıl, 10.000 TL’den az cezalar için 3 yıldır. Mülkiyetin kamuya geçirilmesinde süre 10 yıldır. [KAYNAK 1]

Süre, kararın kesinleştiği yılı izleyen takvim yılının başında işlemeye başlar. Kanun gereği yaptırımın yerine getirilmesine başlanamaması veya yerine getirilememesi hâlinde zamanaşımı işlemez. [KAYNAK 1]","191.22989999959827","3713.3856999998898","3914.3999999996595","37","3253","211","3464","","","","","","","","","","True","True"
"q013","İdarî yaptırım kararına ilişkin tutanakta hangi bilgilerin bulunması gerekir?","25","False","25 | 27 | 26 | 28 | 16","5326-madde-25-chunk-001 | 5326-madde-27-chunk-001 | 5326-madde-26-chunk-001 | 5326-madde-28-chunk-001 | 5326-madde-16-chunk-001","1","True","YETERLI","25","True","1","True","False","İdarî yaptırım kararına ilişkin tutanakta açıkça şunlar yazılır:  
- Hakkında idarî yaptırım kararı verilen kişinin kimlik ve adresi,  
- Karar verilmesini gerektiren kabahat fiili,  
- Fiilin işlendiğini ispata yarayacak bütün deliller,  
- Karar tarihi ile kararı veren kamu görevlilerinin kimliği. [KAYNAK 1]

Ayrıca kabahati oluşturan fiil; işlendiği yer ve zaman gösterilerek açıklanır. [KAYNAK 1]","186.04189999950904","2776.873499999965","2972.2397999994428","30","3042","142","3184","","","","","","","","","","True","True"
"q014","İdarî para cezasına karşı hangi sürede ve nereye başvurulabilir?","27","False","17 | 27 | 28 | 3 | 20","5326-madde-17-chunk-001 | 5326-madde-27-chunk-001 | 5326-madde-28-chunk-001 | 5326-gecici-madde-3-chunk-001 | 5326-madde-20-chunk-001","2","True","YETERLI","27","True","1","True","False","İdarî para cezasına karşı, kararın tebliği veya tefhimi tarihinden itibaren en geç onbeş gün içinde sulh ceza mahkemesine başvurulabilir. Bu sürede başvuru yapılmazsa idarî yaptırım kararı kesinleşir. [KAYNAK 2]

Mücbir sebep nedeniyle süre kaçırılmışsa, mücbir sebebin ortadan kalktığı tarihten itibaren en geç yedi gün içinde başvuru yapılabilir. [KAYNAK 2]","424.32629999984783","2532.5941999999486","2966.6465000000244","23","4004","131","4135","","","","","","","","","","True","True"
"q015","Yetkili makamın hukuka uygun olarak verdiği emre aykırı davranmanın yaptırımı nedir?","32","False","32 | 37 | 41 | 27 | 28","5326-madde-32-chunk-001 | 5326-madde-37-chunk-001 | 5326-madde-41-chunk-001 | 5326-madde-27-chunk-001 | 5326-madde-28-chunk-001","1","True","YETERLI","32","True","1","True","False","Yetkili makamların adlî işlemler nedeniyle veya kamu güvenliği, kamu düzeni ya da genel sağlığın korunması amacıyla hukuka uygun olarak verdiği emre aykırı hareket eden kişiye 100 Türk Lirası idarî para cezası verilir. Bu cezaya emri veren makam karar verir. Ancak bu hüküm, ilgili kanunda açıkça hüküm bulunan hâllerde uygulanabilir. [KAYNAK 1]","212.29630000016186","2483.3975000001374","2705.2857999997286","33","3316","112","3428","","","","","","","","","","True","True"
"q016","Kabahatler Kanunu'nun genel kuralları başka kanunlardaki idari para cezalarına hangi durumda uygulanır?","3","False","3 | 3 | 15 | 28 | 1","5326-madde-3-chunk-001 | 5326-gecici-madde-3-chunk-001 | 5326-madde-15-chunk-001 | 5326-madde-28-chunk-001 | 5326-madde-1-chunk-001","1","True","YETERLI","3","True","1","True","False","Kabahatler Kanunu’nun kanun yoluna ilişkin hükümleri, diğer kanunlarda aksine hüküm yoksa uygulanır. Diğer genel hükümleri ise idari para cezası veya mülkiyetin kamuya geçirilmesi yaptırımını gerektiren bütün fiiller hakkında uygulanır. [KAYNAK 1]","328.7791000002471","2824.410000000171","3163.2204000006823","38","2428","87","2515","","","","","","","","","","True","True"
"q017","Bir kabahat, davranışın yapıldığı anda mı yoksa sonucu ortaya çıktığında mı işlenmiş sayılır?","5","False","5 | 7 | 2 | 14 | 20","5326-madde-5-chunk-001 | 5326-madde-7-chunk-001 | 5326-madde-2-chunk-001 | 5326-madde-14-chunk-001 | 5326-madde-20-chunk-001","1","True","YETERLI","5","True","1","True","False","Kabahat, failin icraî veya ihmali davranışı gerçekleştirdiği anda işlenmiş sayılır; neticenin ortaya çıktığı zaman bu açıdan dikkate alınmaz. [KAYNAK 1]","200.1460000001316","2118.7196999999287","2328.90370000041","38","2025","61","2086","","","","","","","","","","True","True"
"q018","Bir şeyi yapmamak hangi şartla kabahat sayılabilir?","7","False","7 | 14 | 2 | 41 | 15","5326-madde-7-chunk-001 | 5326-madde-14-chunk-001 | 5326-madde-2-chunk-001 | 5326-madde-41-chunk-001 | 5326-madde-15-chunk-001","1","True","YETERLI","7 | 2","True","2","True","False","Bir şeyi yapmamak, kişi açısından belli bir icraî davranışta bulunmaya yönelik hukukî bir yükümlülük varsa ihmali davranışla işlenmiş kabahat sayılabilir. Kabahat, kanunun karşılığında idarî yaptırım öngördüğü haksızlıktır. [KAYNAK 1] [KAYNAK 3]","220.8972000007634","2817.3752000002423","3047.4750999992466","21","2209","95","2304","","","","","","","","","","True","True"
"q019","Şirket çalışanının işi sırasında işlediği kabahat yüzünden şirket sahibine de yaptırım uygulanabilir mi?","8","False","8 | 27 | 16 | 15 | 14","5326-madde-8-chunk-001 | 5326-madde-27-chunk-001 | 5326-madde-16-chunk-001 | 5326-madde-15-chunk-001 | 5326-madde-14-chunk-001","1","True","YETERLI","8 | 16","True","2","True","False","Evet. Gerçek kişiye ait bir işte çalışan kişinin, iş faaliyeti çerçevesinde işlediği kabahat nedeniyle iş sahibi kişi hakkında da idarî yaptırım uygulanabilir. İdarî yaptırımlar idarî para cezası veya idarî tedbir olabilir. [KAYNAK 1] [KAYNAK 3]","194.5560000003752","2771.5137999994113","2975.1024999995934","41","2415","92","2507","","","","","","","","","","True","True"
