id,question,expected_sources,case_type,difficulty,source_verified,expert_validated,question_clear,question_natural,expected_sources_correct,answerable_from_current_corpus,ambiguous,review_status,reviewer_notes
gk001,"Gümrük uygulamasında ""geri verme"" ile ""kaldırma"" terimleri arasında ne fark vardır?",4458/normal/210,paraphrase,easy,True,False,,,,,,pending,
gk002,İhracat rejimi olarak adlandırılan gümrük rejimi hangi işlemleri kapsar?,4458/normal/150,paraphrase,easy,True,False,,,,,,pending,
gk003,Türk Gümrük Tarifesi denildiğinde nelerden oluşan bir bütün kastedilir?,4458/normal/15,paraphrase,medium,True,False,,,,,,pending,
gk004,Serbest dolaşımda bulunmayan bir eşyanın Türkiye Gümrük Bölgesinden tekrar yurt dışına gönderilmesi mümkün müdür?,4458/normal/163,paraphrase,easy,True,False,,,,,,pending,
gk005,Transit rejimi hangi nitelikteki eşyanın taşınmasında uygulanır?,4458/normal/84,paraphrase,medium,True,False,,,,,,pending,
gk006,Sınır ticareti yapılacak merkezlerin kurulmasına ve buralardaki usul ve esasların belirlenmesine kim yetkilidir?,4458/normal/172,paraphrase,easy,True,False,,,,,,pending,
gk007,Gümrüğe yazılı beyanda kullanılan beyanname hangi bilgileri içermeli ve imza bakımından hangi şartı taşımalıdır?,4458/normal/60,paraphrase,medium,True,False,,,,,,pending,
gk008,Türkiye Gümrük Bölgesine getirilecek eşya için özet beyan ne zaman verilir?,4458/normal/35/A,paraphrase,easy,True,False,,,,,,pending,
gk009,Bir işletmeye yetkilendirilmiş yükümlü statüsü tanınabilmesi için hangi şartları taşıması gerekir?,4458/normal/5/A,exception_condition,medium,True,False,,,,,,pending,
gk010,İthal edilen bir eşyanın alıcı ile satıcı arasında kararlaştırılan satış bedelinin gümrük kıymeti olarak kabul edilebilmesi için hangi koşulların birlikte gerçekleşmesi gerekir?,4458/normal/24,exception_condition,hard,True,False,,,,,,pending,
gk011,Bir gümrük idaresinden önceden alınmış bağlayıcı bir tarife bilgisi hangi durumlarda geçerliliğini kaybeder?,4458/normal/9,exception_condition,medium,True,False,,,,,,pending,
gk012,"Yolcuların kendi kullanımına ayrılmış, ticari nitelik taşımayan kişisel eşyası, taklit ürünlere karşı uygulanan gümrükte alıkoyma tedbirine tabi tutulur mu?",4458/normal/57,exception_condition,medium,True,False,,,,,,pending,
gk013,Denizyoluyla gelen ve özet beyan kapsamında bulunan eşyaya bir kullanım belirlenmesi işlemi kaç gün içinde tamamlanmalıdır?,4458/normal/46,exception_condition,easy,True,False,,,,,,pending,
gk014,"Değeri belirli bir tutarın altında kalan eşya, serbest dolaşıma sokulurken gümrük vergisinden muaf tutulur mu?",4458/normal/167,exception_condition,easy,True,False,,,,,,pending,
gk015,Daha önce ihraç edilmiş bir eşya belirli bir süre içinde tekrar serbest dolaşıma girerse ithalat vergisinden muaf tutulabilir mi?,4458/normal/168,exception_condition,medium,True,False,,,,,,pending,
gk016,"Sonradan gümrük yükümlülüğü doğan hallerde, eşyaya daha önce uygulanmayan bir tercihli tarife veya vergi muafiyeti yine de tanınabilir mi?",4458/normal/191/A,exception_condition,hard,True,False,,,,,,pending,
gk017,İthal edilen bir eşyanın gümrük kıymeti belirlenirken esas alınan satış bedeline hangi unsurlar ilave edilir ve bu satış bedelinin kıymet tespitinde esas alınabilmesi için ayrıca hangi şartlar aranır?,4458/normal/24 | 4458/normal/27,multi_part,hard,True,False,,,,,,pending,
gk018,Türkiye'ye gelecek eşya için özet beyan ne zaman verilir ve bu beyanı vermekle kim yükümlü tutulur?,4458/normal/35/A | 4458/normal/35/B,multi_part,medium,True,False,,,,,,pending,
gk019,İthalat vergilerine tabi eşyanın serbest dolaşıma girişi veya kısmi muafiyet suretiyle geçici ithali halinde gümrük yükümlülüğü ne zaman başlar ve gümrük yükümlülüğü hangi hallerde sona erer?,4458/normal/181 | 4458/normal/208,multi_part,hard,True,False,,,,,,pending,
