id,question,expected_articles,expert_validated,retrieved_articles,retrieved_chunk_ids,first_expected_rank,expected_article_present,status,cited_articles,expected_article_cited,citation_count,citation_labels_structurally_valid,requires_priority_review,answer,retrieval_latency_ms,generation_latency_ms,pipeline_latency_ms,embedding_tokens,generation_input_tokens,generation_output_tokens,generation_total_tokens,error_type,error_message_safe,legal_correctness,completeness,groundedness,citation_relevance,sufficiency_decision,unsafe_overclaim,reviewer_notes
q001,Kabahat nedir?,2,False,7 | 1 | 14 | 2 | 9,5326-madde-7-chunk-001 | 5326-madde-1-chunk-001 | 5326-madde-14-chunk-001 | 5326-madde-2-chunk-001 | 5326-madde-9-chunk-001,4,True,YETERLI,2,True,1,True,False,"Kabahat, kanunun karşılığında idarî yaptırım uygulanmasını öngördüğü haksızlıktır. [KAYNAK 4]",2705.6526000001213,2423.2891999999993,5139.9468999998135,7,1552,49,1601,,,,,,,,,
q002,"Kabahat karşılığı uygulanacak yaptırımın türü, süresi ve miktarı hangi esasla belirlenir?",4,False,16 | 27 | 28 | 15 | 25,5326-madde-16-chunk-001 | 5326-madde-27-chunk-001 | 5326-madde-28-chunk-001 | 5326-madde-15-chunk-001 | 5326-madde-25-chunk-001,,False,YETERSIZ,16,False,1,True,True,"Kaynaklar, yaptırım türlerinin idarî para cezası ve idarî tedbirlerden ibaret olduğunu; idarî tedbirlerin ise mülkiyetin kamuya geçirilmesi ile ilgili kanunlarda yer alan diğer tedbirleri kapsadığını belirtmektedir. [KAYNAK 1] Ancak yaptırımın türü, süresi ve miktarının hangi esaslara göre belirleneceğine ilişkin bir kural kaynaklarda yer almamaktadır.",250.92309999990903,3503.290200000265,3764.8709999998573,38,2899,113,3012,,,,,,,,,
q003,Bir kabahatin kasten veya taksirle işlenmesi nasıl düzenlenmiştir?,9,False,9 | 41 | 39 | 43/A | 15,5326-madde-9-chunk-001 | 5326-madde-41-chunk-001 | 5326-madde-39-chunk-001 | 5326-madde-43-a-chunk-001 | 5326-madde-15-chunk-001,1,True,YETERLI,9,True,1,True,False,"Kabahatler, kanunda açıkça aksine bir hüküm bulunmadıkça hem kasten hem de taksirle işlenebilir. [KAYNAK 1]",487.7642999999807,2295.714500000031,2792.9840000001604,25,2870,53,2923,,,,,,,,,
q004,Onbeş yaşını doldurmamış çocuk hakkında idarî para cezası uygulanabilir mi?,11,False,11 | 21 | 20 | 43/A | 3,5326-madde-11-chunk-001 | 5326-madde-21-chunk-001 | 5326-madde-20-chunk-001 | 5326-madde-43-a-chunk-001 | 5326-gecici-madde-3-chunk-001,1,True,YETERLI,11,True,1,True,False,Hayır. Fiili işlediği sırada onbeş yaşını doldurmamış çocuk hakkında idarî para cezası uygulanamaz. [KAYNAK 1],210.7571999999891,2060.613900000135,2281.2948999999207,29,2680,53,2733,,,,,,,,,
q005,Hukuka uygunluk nedenleri ve kusurluluğu ortadan kaldıran nedenlerde hangi hükümler uygulanır?,12,False,12 | 19 | 28 | 27 | 5,5326-madde-12-chunk-001 | 5326-madde-19-chunk-001 | 5326-madde-28-chunk-001 | 5326-madde-27-chunk-001 | 5326-madde-5-chunk-001,1,True,YETERLI,12,True,1,True,False,"Bu Kanunda aksine hüküm bulunmayan hâllerde, Türk Ceza Kanununun hukuka uygunluk nedenleri ile kusurluluğu ortadan kaldıran nedenlere ilişkin hükümleri kabahatler bakımından da uygulanır. [KAYNAK 1]",208.06009999978414,2504.729000000225,2723.376400000234,39,2808,73,2881,,,,,,,,,
q006,Kabahate teşebbüs cezalandırılır mı?,13,False,13 | 14 | 37 | 43/A | 36,5326-madde-13-chunk-001 | 5326-madde-14-chunk-001 | 5326-madde-37-chunk-001 | 5326-madde-43-a-chunk-001 | 5326-madde-36-chunk-001,1,True,YETERLI,13,True,1,True,False,"Kural olarak kabahate teşebbüs cezalandırılmaz. Ancak ilgili kanunda teşebbüsün de cezalandırılacağına dair hüküm varsa, teşebbüs cezalandırılabilir; bu durumda Türk Ceza Kanununun suça teşebbüs ve gönüllü vazgeçmeye ilişkin hükümleri kabahatler bakımından da uygulanır. [KAYNAK 1]",604.7090000001845,2591.471100000035,3205.459499999961,18,2203,100,2303,,,,,,,,,
q007,Bir kabahatin işlenmesine birden fazla kişi katılırsa sorumluluk nasıl belirlenir?,14,False,14 | 8 | 41 | 43/A | 7,5326-madde-14-chunk-001 | 5326-madde-8-chunk-001 | 5326-madde-41-chunk-001 | 5326-madde-43-a-chunk-001 | 5326-madde-7-chunk-001,1,True,YETERLI,14,True,1,True,False,"Kabahatin işlenişine birden fazla kişi katılmışsa, bu kişilerin her biri hakkında fail olarak idarî para cezası verilir. [KAYNAK 1] Özel faillik niteliği aranan durumlarda, bu niteliği taşımayan iştirakçi hakkında da fail olarak idarî para cezası uygulanır. [KAYNAK 1]

İştirak için kasten ve hukuka aykırı işlenmiş bir fiilin varlığı yeterlidir; iştirak eden kişinin sorumluluğu, diğer kişilerin sorumlu olup olmadığına bakılmaksızın belirlenir. [KAYNAK 1] Ancak özel faillik niteliğini taşıyan kişi bakımından suç, diğerleri bakımından kabahat sayılan bir fiil ortaklaşa işlenirse, suça iştirake ilişkin hükümler uygulanır. [KAYNAK 1]",278.02639999981693,3842.6902999999584,4130.298399999901,29,2845,205,3050,,,,,,,,,
q008,Aynı fiille birden fazla kabahat işlenirse idarî yaptırım nasıl belirlenir?,15,False,15 | 27 | 28 | 25 | 16,5326-madde-15-chunk-001 | 5326-madde-27-chunk-001 | 5326-madde-28-chunk-001 | 5326-madde-25-chunk-001 | 5326-madde-16-chunk-001,1,True,YETERLI,15,True,1,True,False,"Bir fiille birden fazla kabahat işlenmiş ve bu kabahatler için yalnız idarî para cezası öngörülmüşse, en ağır idarî para cezası uygulanır. Para cezasına ek olarak başka idarî yaptırımlar da öngörülmüşse, bu yaptırımların her birinin uygulanmasına karar verilir. [KAYNAK 1]",190.45509999978094,2419.6845999999823,2619.83280000004,29,2897,100,2997,,,,,,,,,
q009,Kabahatler karşılığında uygulanabilecek idarî yaptırım türleri nelerdir?,16,False,16 | 27 | 25 | 28 | 17,5326-madde-16-chunk-001 | 5326-madde-27-chunk-001 | 5326-madde-25-chunk-001 | 5326-madde-28-chunk-001 | 5326-madde-17-chunk-001,1,True,YETERLI,16,True,1,True,False,"Kabahatler karşılığında uygulanabilecek idarî yaptırımlar, idarî para cezası ve idarî tedbirlerdir. İdarî tedbirler; mülkiyetin kamuya geçirilmesi ile ilgili kanunlarda yer alan diğer tedbirleri kapsar. [KAYNAK 1]",327.05010000017865,2263.232700000117,2600.4634999999325,29,3621,82,3703,,,,,,,,,
q010,İdarî para cezasının türleri ve ceza miktarının belirlenmesinde dikkate alınacak ölçütler nelerdir?,17,False,17 | 28 | 27 | 43/A | 20,5326-madde-17-chunk-001 | 5326-madde-28-chunk-001 | 5326-madde-27-chunk-001 | 5326-madde-43-a-chunk-001 | 5326-madde-20-chunk-001,1,True,YETERLI,17,True,1,True,False,"İdarî para cezası, **maktu** veya **nispi** olabilir. Ayrıca kanunda alt ve üst sınır gösterilerek de belirlenebilir. [KAYNAK 1]

Kanunda alt ve üst sınır öngörülmüşse ceza miktarı belirlenirken; işlenen kabahatin **haksızlık içeriği**, failin **kusuru** ve **ekonomik durumu** birlikte dikkate alınır. [KAYNAK 1]",329.294199999822,2420.6952999998066,2761.719499999799,36,4564,122,4686,,,,,,,,,
